  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   7.000   0.000   0.255   0.105   0.000   0.066   0.002   0.135
   0.025   7.000   0.000   0.253   0.105   0.000   0.060   0.002   0.138
   0.050   7.000   0.000   0.250   0.104   0.000   0.055   0.001   0.142
   0.075   7.000   0.000   0.246   0.103   0.000   0.050   0.001   0.147
   0.100   7.000   0.000   0.243   0.103   0.000   0.047   0.001   0.153
   0.125   7.000   0.000   0.239   0.103   0.000   0.044   0.001   0.160
   0.150   7.000   0.000   0.236   0.104   0.000   0.041   0.001   0.169
   0.175   7.000   0.000   0.233   0.105   0.000   0.039   0.001   0.179
   0.200   8.000   0.000   0.231   0.107   0.000   0.037   0.001   0.190
   0.225   8.000   0.000   0.229   0.109   0.000   0.035   0.001   0.201
   0.250   8.000   0.000   0.228   0.111   0.000   0.033   0.001   0.212
   0.275   8.000   0.000   0.228   0.114   0.000   0.031   0.001   0.224
   0.300   8.000   0.000   0.227   0.117   0.000   0.028   0.001   0.235
   0.325   8.000   0.000   0.227   0.120   0.000   0.026   0.000   0.246
   0.350   8.000   0.000   0.227   0.123   0.000   0.023   0.000   0.257
   0.375   8.000   0.000   0.228   0.126   0.000   0.021   0.000   0.267
   0.400   8.000   0.000   0.228   0.129   0.000   0.018   0.000   0.277
   0.425   8.000   0.000   0.228   0.132   0.000   0.016   0.000   0.286
   0.450   8.000   0.000   0.229   0.135   0.000   0.013   0.000   0.295
   0.475   7.000   0.000   0.229   0.137   0.000   0.011   0.000   0.303
   0.500   7.000   0.000   0.230   0.140   0.000   0.009   0.000   0.310
   0.525   7.000   0.000   0.230   0.143   0.000   0.007   0.000   0.317
   0.550   7.000   0.000   0.231   0.145   0.000   0.005   0.000   0.323
   0.575   8.000   0.000   0.231   0.147   0.000   0.004   0.000   0.329
   0.600   8.000   0.000   0.231   0.149   0.000   0.003   0.000   0.334
   0.625   8.000   0.000   0.231   0.151   0.000   0.002   0.000   0.339
   0.650   8.000   0.000   0.231   0.153   0.000   0.002   0.000   0.343
   0.675   9.000   0.000   0.231   0.155   0.000   0.001   0.000   0.347
   0.700   9.000   0.000   0.231   0.156   0.000   0.001   0.000   0.350
   0.725   9.000   0.000   0.231   0.158   0.000   0.001   0.000   0.354
   0.750   9.000   0.000   0.231   0.160   0.000   0.000   0.000   0.357
   0.775   9.000   0.000   0.231   0.161   0.000   0.000   0.000   0.359
   0.800   9.000   0.000   0.230   0.163   0.000   0.000   0.000   0.362
   0.825   9.000   0.000   0.230   0.164   0.000   0.000   0.000   0.364
   0.850   9.000   0.000   0.230   0.166   0.000   0.000   0.000   0.367
   0.875   9.000   0.000   0.229   0.167   0.000   0.000   0.000   0.369
   0.900   9.000   0.000   0.229   0.168   0.000   0.000   0.000   0.371
   0.925   9.000   0.000   0.229   0.169   0.000   0.000   0.000   0.373
   0.950   9.000   0.000   0.228   0.171   0.000   0.000   0.000   0.375
   0.975   9.000   0.000   0.228   0.172   0.000   0.000   0.000   0.376
   1.000   9.000   0.000   0.227   0.173   0.000   0.000   0.000   0.377
