  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  15.000   0.112   0.114   0.227
   0.025  15.000   0.112   0.116   0.229
   0.050  17.000   0.112   0.118   0.233
   0.075  18.000   0.114   0.121   0.238
   0.100  19.000   0.116   0.124   0.243
   0.125  21.000   0.117   0.126   0.246
   0.150  21.000   0.118   0.127   0.248
   0.175  22.000   0.118   0.127   0.249
   0.200  23.000   0.118   0.127   0.248
   0.225  23.000   0.117   0.126   0.246
   0.250  23.000   0.115   0.124   0.243
   0.275  23.000   0.114   0.122   0.239
   0.300  23.000   0.112   0.120   0.235
   0.325  23.000   0.109   0.117   0.230
   0.350  21.000   0.107   0.114   0.225
   0.375  21.000   0.104   0.112   0.219
   0.400  21.000   0.102   0.109   0.213
   0.425  21.000   0.099   0.106   0.208
   0.450  21.000   0.096   0.103   0.202
   0.475  21.000   0.094   0.100   0.196
   0.500  21.000   0.091   0.097   0.191
   0.525  22.000   0.089   0.095   0.186
   0.550  22.000   0.086   0.092   0.181
   0.575  23.000   0.084   0.090   0.176
   0.600  23.000   0.082   0.088   0.172
   0.625  23.000   0.080   0.086   0.168
   0.650  23.000   0.078   0.084   0.164
   0.675  23.000   0.076   0.082   0.161
   0.700  21.000   0.074   0.081   0.158
   0.725  20.000   0.073   0.080   0.156
   0.750  20.000   0.072   0.079   0.153
   0.775  19.000   0.071   0.078   0.152
   0.800  19.000   0.070   0.077   0.150
   0.825  19.000   0.070   0.076   0.149
   0.850  19.000   0.069   0.076   0.148
   0.875  19.000   0.069   0.075   0.147
   0.900  19.000   0.069   0.075   0.146
   0.925  20.000   0.068   0.074   0.145
   0.950  20.000   0.068   0.074   0.145
   0.975  21.000   0.068   0.074   0.144
   1.000  21.000   0.068   0.073   0.144
