  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   4.000   0.024   0.186   0.000   0.000   0.284   0.068   0.013
   0.025   4.000   0.020   0.185   0.000   0.000   0.286   0.072   0.013
   0.050   4.000   0.016   0.186   0.000   0.000   0.285   0.075   0.015
   0.075   3.000   0.012   0.185   0.000   0.000   0.283   0.078   0.017
   0.100   3.000   0.008   0.184   0.000   0.000   0.279   0.079   0.019
   0.125   3.000   0.005   0.180   0.000   0.000   0.275   0.078   0.022
   0.150   3.000   0.003   0.176   0.000   0.000   0.271   0.077   0.025
   0.175   4.000   0.002   0.172   0.000   0.000   0.267   0.075   0.028
   0.200   4.000   0.002   0.169   0.000   0.000   0.265   0.074   0.032
   0.225   4.000   0.001   0.166   0.000   0.000   0.263   0.072   0.035
   0.250   4.000   0.001   0.164   0.000   0.000   0.263   0.071   0.038
   0.275   4.000   0.001   0.161   0.000   0.000   0.262   0.069   0.042
   0.300   4.000   0.000   0.160   0.000   0.000   0.262   0.068   0.046
   0.325   4.000   0.000   0.158   0.000   0.000   0.263   0.067   0.050
   0.350   5.000   0.000   0.157   0.001   0.000   0.264   0.065   0.055
   0.375   5.000   0.000   0.155   0.001   0.000   0.265   0.064   0.059
   0.400   5.000   0.000   0.154   0.001   0.000   0.267   0.063   0.064
   0.425   5.000   0.000   0.153   0.001   0.000   0.268   0.062   0.070
   0.450   5.000   0.000   0.152   0.002   0.000   0.270   0.060   0.075
   0.475   5.000   0.000   0.150   0.002   0.000   0.272   0.059   0.081
   0.500   6.000   0.000   0.149   0.002   0.000   0.274   0.058   0.088
   0.525   6.000   0.000   0.147   0.003   0.000   0.275   0.056   0.094
   0.550   6.000   0.000   0.145   0.003   0.000   0.277   0.055   0.101
   0.575   6.000   0.000   0.144   0.004   0.000   0.279   0.053   0.108
   0.600   6.000   0.000   0.142   0.004   0.000   0.280   0.052   0.115
   0.625   6.000   0.000   0.140   0.004   0.000   0.282   0.051   0.123
   0.650   7.000   0.000   0.138   0.004   0.000   0.283   0.049   0.130
   0.675   7.000   0.000   0.136   0.005   0.000   0.284   0.048   0.138
   0.700   7.000   0.000   0.134   0.005   0.000   0.285   0.047   0.145
   0.725   7.000   0.000   0.132   0.005   0.000   0.286   0.045   0.153
   0.750   7.000   0.000   0.130   0.005   0.000   0.287   0.044   0.160
   0.775   7.000   0.000   0.128   0.005   0.000   0.287   0.043   0.168
   0.800   7.000   0.000   0.126   0.005   0.000   0.287   0.042   0.175
   0.825   7.000   0.000   0.124   0.005   0.000   0.288   0.041   0.183
   0.850   7.000   0.000   0.122   0.005   0.000   0.287   0.040   0.190
   0.875   8.000   0.000   0.120   0.005   0.000   0.287   0.039   0.198
   0.900   8.000   0.000   0.118   0.004   0.000   0.287   0.038   0.205
   0.925   8.000   0.000   0.116   0.004   0.000   0.287   0.038   0.212
   0.950   8.000   0.000   0.114   0.004   0.000   0.286   0.037   0.218
   0.975   8.000   0.000   0.112   0.004   0.000   0.286   0.036   0.225
   1.000   8.000   0.000   0.110   0.004   0.000   0.285   0.036   0.232
