  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   8.000   0.037   0.001   0.042   0.010   0.043   0.208   0.134
   0.025   9.000   0.037   0.001   0.039   0.010   0.042   0.203   0.136
   0.050   9.000   0.036   0.001   0.037   0.010   0.041   0.198   0.140
   0.075   9.000   0.036   0.001   0.035   0.010   0.039   0.195   0.144
   0.100   9.000   0.037   0.001   0.034   0.010   0.038   0.192   0.150
   0.125   9.000   0.037   0.001   0.033   0.010   0.037   0.191   0.157
   0.150   9.000   0.038   0.001   0.032   0.011   0.036   0.191   0.165
   0.175   9.000   0.038   0.001   0.031   0.011   0.035   0.191   0.174
   0.200   9.000   0.039   0.002   0.031   0.011   0.034   0.192   0.184
   0.225   9.000   0.039   0.002   0.030   0.012   0.034   0.193   0.194
   0.250   9.000   0.039   0.002   0.030   0.012   0.033   0.195   0.205
   0.275   9.000   0.040   0.002   0.030   0.013   0.033   0.196   0.216
   0.300   9.000   0.040   0.002   0.030   0.013   0.033   0.198   0.227
   0.325  10.000   0.040   0.002   0.029   0.013   0.033   0.200   0.238
   0.350  10.000   0.040   0.002   0.029   0.013   0.033   0.201   0.249
   0.375  10.000   0.040   0.002   0.029   0.014   0.033   0.202   0.259
   0.400  10.000   0.040   0.002   0.028   0.014   0.033   0.203   0.269
   0.425  10.000   0.039   0.002   0.028   0.014   0.033   0.204   0.279
   0.450  10.000   0.039   0.002   0.028   0.014   0.033   0.205   0.288
   0.475  10.000   0.039   0.002   0.027   0.014   0.033   0.206   0.297
   0.500  10.000   0.039   0.002   0.027   0.014   0.033   0.207   0.306
   0.525  10.000   0.038   0.002   0.027   0.014   0.033   0.208   0.314
   0.550  10.000   0.038   0.002   0.026   0.014   0.033   0.209   0.323
   0.575  10.000   0.038   0.002   0.026   0.014   0.033   0.209   0.330
   0.600  10.000   0.037   0.002   0.025   0.014   0.034   0.208   0.335
   0.625  10.000   0.036   0.002   0.024   0.013   0.034   0.207   0.338
   0.650  10.000   0.035   0.002   0.023   0.013   0.035   0.205   0.339
   0.675  11.000   0.034   0.002   0.023   0.013   0.034   0.204   0.340
   0.700  11.000   0.033   0.002   0.023   0.013   0.034   0.204   0.341
   0.725  12.000   0.033   0.002   0.023   0.013   0.034   0.203   0.343
   0.750  12.000   0.033   0.002   0.023   0.013   0.034   0.203   0.345
   0.775  12.000   0.032   0.002   0.023   0.013   0.034   0.204   0.348
   0.800  12.000   0.032   0.002   0.023   0.013   0.034   0.204   0.351
   0.825  12.000   0.032   0.002   0.023   0.013   0.034   0.204   0.354
   0.850  12.000   0.032   0.002   0.023   0.013   0.034   0.205   0.357
   0.875  12.000   0.032   0.002   0.023   0.013   0.035   0.205   0.361
   0.900  12.000   0.032   0.002   0.022   0.013   0.035   0.205   0.364
   0.925  12.000   0.032   0.002   0.022   0.013   0.035   0.205   0.368
   0.950  12.000   0.032   0.002   0.022   0.013   0.036   0.205   0.369
   0.975  12.000   0.032   0.002   0.021   0.012   0.036   0.204   0.370
   1.000  12.000   0.031   0.002   0.021   0.012   0.037   0.203   0.371
