          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.63928E+00  0.69410E+02    0.32500E+00  0.32500E+00 -0.65000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22208E+02  0.22950E+02 -0.45158E+02 -0.31586E+01  0.53220E+01  0.61686E+01      982.00
  0.66368E+00  0.69404E+02    0.33750E+00  0.33750E+00 -0.67500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22103E+02  0.23034E+02 -0.45136E+02 -0.31565E+01  0.53656E+01  0.62194E+01      982.00
  0.68807E+00  0.69391E+02    0.35000E+00  0.35000E+00 -0.70000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21993E+02  0.23118E+02 -0.45111E+02 -0.31550E+01  0.54121E+01  0.62605E+01      982.00
  0.71245E+00  0.69371E+02    0.36250E+00  0.36250E+00 -0.72500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21880E+02  0.23202E+02 -0.45082E+02 -0.31544E+01  0.54610E+01  0.62950E+01      982.00
  0.73682E+00  0.69349E+02    0.37500E+00  0.37500E+00 -0.75000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21763E+02  0.23288E+02 -0.45052E+02 -0.31544E+01  0.55096E+01  0.63218E+01      982.00
  0.76118E+00  0.69329E+02    0.38750E+00  0.38750E+00 -0.77500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21646E+02  0.23378E+02 -0.45024E+02 -0.31539E+01  0.55589E+01  0.63428E+01      982.00
  0.78553E+00  0.69300E+02    0.40000E+00  0.40000E+00 -0.80000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21525E+02  0.23465E+02 -0.44990E+02 -0.31535E+01  0.56092E+01  0.63585E+01      982.00
  0.80988E+00  0.69273E+02    0.41250E+00  0.41250E+00 -0.82500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21400E+02  0.23559E+02 -0.44959E+02 -0.31531E+01  0.56528E+01  0.63666E+01      982.00
  0.83421E+00  0.69245E+02    0.42500E+00  0.42500E+00 -0.85000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21277E+02  0.23650E+02 -0.44927E+02 -0.31522E+01  0.57012E+01  0.63724E+01      982.00
  0.85854E+00  0.69218E+02    0.43750E+00  0.43750E+00 -0.87500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21153E+02  0.23743E+02 -0.44896E+02 -0.31510E+01  0.57483E+01  0.63748E+01      982.00
  0.88287E+00  0.69115E+02    0.45000E+00  0.45000E+00 -0.90000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21005E+02  0.23822E+02 -0.44827E+02 -0.31232E+01  0.57319E+01  0.63735E+01      982.00
  0.90719E+00  0.69015E+02    0.46250E+00  0.46250E+00 -0.92500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.20860E+02  0.23896E+02 -0.44756E+02 -0.31030E+01  0.57356E+01  0.63657E+01      982.00
  0.93151E+00  0.68931E+02    0.47500E+00  0.47500E+00 -0.95000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.20748E+02  0.23943E+02 -0.44692E+02 -0.30939E+01  0.57598E+01  0.63660E+01      982.00
  0.95582E+00  0.68843E+02    0.48750E+00  0.48750E+00 -0.97500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.20610E+02  0.24018E+02 -0.44628E+02 -0.30745E+01  0.57705E+01  0.63528E+01      982.00
  0.98013E+00  0.68750E+02    0.50000E+00  0.50000E+00 -0.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00    0.20469E+02  0.24094E+02 -0.44563E+02 -0.30533E+01  0.57770E+01  0.63362E+01      982.00
