  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.121   0.117   0.237
   0.025  26.000   0.124   0.122   0.244
   0.050  26.000   0.126   0.126   0.252
   0.075  28.000   0.127   0.129   0.257
   0.100  26.000   0.127   0.131   0.260
   0.125  26.000   0.126   0.132   0.261
   0.150  26.000   0.124   0.132   0.259
   0.175  27.000   0.122   0.130   0.255
   0.200  27.000   0.119   0.127   0.250
   0.225  27.000   0.116   0.124   0.243
   0.250  27.000   0.112   0.120   0.236
   0.275  28.000   0.108   0.116   0.228
   0.300  28.000   0.104   0.112   0.220
   0.325  28.000   0.100   0.108   0.212
   0.350  28.000   0.097   0.104   0.204
   0.375  28.000   0.093   0.100   0.197
   0.400  28.000   0.090   0.097   0.190
   0.425  28.000   0.087   0.094   0.183
   0.450  28.000   0.084   0.090   0.177
   0.475  28.000   0.081   0.087   0.171
   0.500  29.000   0.079   0.085   0.166
   0.525  28.000   0.077   0.082   0.161
   0.550  28.000   0.075   0.080   0.157
   0.575  28.000   0.073   0.078   0.153
   0.600  28.000   0.071   0.076   0.149
   0.625  28.000   0.069   0.074   0.145
   0.650  28.000   0.068   0.072   0.142
   0.675  28.000   0.067   0.071   0.139
   0.700  28.000   0.065   0.069   0.136
   0.725  28.000   0.064   0.068   0.134
   0.750  28.000   0.063   0.067   0.131
   0.775  28.000   0.062   0.066   0.129
   0.800  28.000   0.061   0.065   0.127
   0.825  28.000   0.060   0.064   0.125
   0.850  28.000   0.060   0.063   0.123
   0.875  28.000   0.059   0.062   0.122
   0.900  28.000   0.059   0.062   0.122
   0.925  28.000   0.059   0.062   0.122
   0.950  28.000   0.059   0.062   0.122
   0.975  28.000   0.059   0.062   0.122
   1.000  28.000   0.059   0.062   0.122
