  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.124   0.118   0.239
   0.025  27.000   0.125   0.119   0.242
   0.050  26.000   0.124   0.121   0.243
   0.075  26.000   0.123   0.121   0.243
   0.100  26.000   0.120   0.120   0.240
   0.125  25.000   0.117   0.119   0.236
   0.150  24.000   0.114   0.117   0.232
   0.175  25.000   0.112   0.114   0.227
   0.200  27.000   0.110   0.113   0.223
   0.225  28.000   0.108   0.111   0.220
   0.250  27.000   0.105   0.109   0.216
   0.275  26.000   0.102   0.108   0.212
   0.300  27.000   0.100   0.106   0.208
   0.325  26.000   0.097   0.103   0.203
   0.350  26.000   0.094   0.101   0.197
   0.375  26.000   0.091   0.098   0.192
   0.400  26.000   0.089   0.095   0.187
   0.425  26.000   0.086   0.092   0.181
   0.450  27.000   0.084   0.090   0.176
   0.475  27.000   0.081   0.087   0.171
   0.500  27.000   0.079   0.085   0.166
   0.525  27.000   0.077   0.083   0.162
   0.550  27.000   0.075   0.080   0.158
   0.575  28.000   0.073   0.078   0.154
   0.600  28.000   0.072   0.076   0.150
   0.625  28.000   0.070   0.075   0.147
   0.650  28.000   0.069   0.073   0.144
   0.675  28.000   0.067   0.071   0.141
   0.700  28.000   0.066   0.070   0.138
   0.725  28.000   0.065   0.069   0.135
   0.750  29.000   0.064   0.067   0.133
   0.775  30.000   0.063   0.066   0.131
   0.800  30.000   0.062   0.065   0.128
   0.825  30.000   0.061   0.064   0.126
   0.850  30.000   0.060   0.063   0.125
   0.875  30.000   0.059   0.062   0.123
   0.900  30.000   0.059   0.061   0.121
   0.925  30.000   0.059   0.061   0.121
   0.950  30.000   0.059   0.062   0.121
   0.975  30.000   0.059   0.062   0.122
   1.000  30.000   0.059   0.062   0.122
