  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000  11.000   0.000   0.006   0.000   0.000   0.063   0.052   0.333
   0.025  11.000   0.000   0.006   0.000   0.000   0.064   0.054   0.328
   0.050  11.000   0.001   0.006   0.000   0.000   0.065   0.056   0.321
   0.075  11.000   0.001   0.005   0.000   0.000   0.065   0.058   0.311
   0.100  10.000   0.001   0.004   0.000   0.000   0.065   0.060   0.301
   0.125  10.000   0.001   0.004   0.000   0.000   0.064   0.062   0.295
   0.150  10.000   0.001   0.003   0.000   0.000   0.062   0.065   0.292
   0.175  10.000   0.001   0.003   0.000   0.000   0.061   0.068   0.293
   0.200  10.000   0.001   0.003   0.000   0.000   0.060   0.070   0.296
   0.225  10.000   0.001   0.003   0.000   0.000   0.060   0.074   0.301
   0.250  10.000   0.001   0.003   0.000   0.000   0.059   0.077   0.306
   0.275  10.000   0.001   0.003   0.000   0.000   0.060   0.080   0.313
   0.300  10.000   0.002   0.003   0.000   0.001   0.060   0.083   0.320
   0.325  10.000   0.002   0.003   0.000   0.001   0.061   0.086   0.327
   0.350  10.000   0.002   0.003   0.000   0.001   0.062   0.089   0.334
   0.375  10.000   0.003   0.004   0.000   0.001   0.063   0.091   0.342
   0.400  10.000   0.003   0.004   0.000   0.001   0.065   0.094   0.349
   0.425  10.000   0.003   0.005   0.000   0.001   0.066   0.097   0.355
   0.450  10.000   0.004   0.005   0.000   0.001   0.068   0.100   0.362
   0.475  11.000   0.004   0.006   0.000   0.001   0.069   0.102   0.368
   0.500  11.000   0.005   0.006   0.000   0.001   0.071   0.105   0.373
   0.525  11.000   0.005   0.007   0.000   0.001   0.072   0.107   0.378
   0.550  11.000   0.006   0.007   0.000   0.001   0.074   0.110   0.383
   0.575  12.000   0.006   0.008   0.000   0.001   0.075   0.112   0.387
   0.600  12.000   0.007   0.008   0.000   0.001   0.077   0.114   0.391
   0.625  12.000   0.007   0.009   0.001   0.001   0.079   0.116   0.394
   0.650  12.000   0.008   0.010   0.001   0.001   0.080   0.118   0.398
   0.675  12.000   0.008   0.010   0.001   0.001   0.082   0.120   0.400
   0.700  12.000   0.009   0.011   0.001   0.001   0.083   0.122   0.403
   0.725  12.000   0.009   0.011   0.001   0.001   0.085   0.124   0.405
   0.750  12.000   0.010   0.012   0.001   0.001   0.086   0.125   0.407
   0.775  12.000   0.010   0.013   0.001   0.001   0.088   0.127   0.409
   0.800  12.000   0.011   0.013   0.001   0.001   0.089   0.128   0.410
   0.825  12.000   0.011   0.014   0.001   0.001   0.091   0.129   0.411
   0.850  12.000   0.012   0.015   0.001   0.001   0.092   0.131   0.413
   0.875  12.000   0.012   0.015   0.001   0.001   0.093   0.132   0.413
   0.900  12.000   0.013   0.016   0.001   0.001   0.095   0.133   0.414
   0.925  12.000   0.013   0.017   0.001   0.001   0.096   0.134   0.415
   0.950  12.000   0.013   0.017   0.001   0.001   0.097   0.134   0.413
   0.975  12.000   0.014   0.018   0.001   0.001   0.098   0.135   0.411
   1.000  12.000   0.014   0.018   0.001   0.001   0.099   0.135   0.409
