  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000  13.000   0.000   0.000   0.001   0.011   0.000   0.407
   0.025  13.000   0.000   0.000   0.001   0.012   0.000   0.400
   0.050  13.000   0.000   0.000   0.001   0.014   0.000   0.396
   0.075  13.000   0.000   0.000   0.002   0.017   0.000   0.394
   0.100  13.000   0.000   0.000   0.002   0.020   0.000   0.391
   0.125  13.000   0.000   0.000   0.002   0.023   0.000   0.388
   0.150  13.000   0.000   0.000   0.003   0.026   0.000   0.386
   0.175  13.000   0.000   0.000   0.003   0.028   0.000   0.386
   0.200  12.000   0.000   0.000   0.004   0.031   0.000   0.388
   0.225  11.000   0.000   0.000   0.004   0.033   0.000   0.392
   0.250  12.000   0.000   0.000   0.005   0.036   0.000   0.398
   0.275  12.000   0.000   0.000   0.006   0.039   0.000   0.405
   0.300  12.000   0.000   0.000   0.006   0.042   0.000   0.412
   0.325  12.000   0.000   0.000   0.007   0.046   0.000   0.420
   0.350  12.000   0.000   0.000   0.008   0.050   0.000   0.428
   0.375  12.000   0.000   0.000   0.009   0.054   0.000   0.435
   0.400  12.000   0.000   0.000   0.011   0.059   0.000   0.442
   0.425  12.000   0.000   0.000   0.012   0.064   0.000   0.449
   0.450  12.000   0.000   0.000   0.013   0.069   0.000   0.455
   0.475  12.000   0.000   0.000   0.015   0.074   0.000   0.460
   0.500  12.000   0.000   0.000   0.017   0.079   0.000   0.465
   0.525  12.000   0.000   0.000   0.019   0.084   0.000   0.468
   0.550  12.000   0.000   0.000   0.021   0.089   0.000   0.472
   0.575  12.000   0.000   0.000   0.023   0.094   0.000   0.474
   0.600  12.000   0.000   0.000   0.025   0.099   0.000   0.476
   0.625  12.000   0.000   0.000   0.027   0.104   0.000   0.478
   0.650  12.000   0.000   0.000   0.029   0.108   0.000   0.479
   0.675  12.000   0.000   0.000   0.032   0.113   0.000   0.479
   0.700  12.000   0.000   0.000   0.034   0.117   0.000   0.480
   0.725  12.000   0.000   0.000   0.037   0.121   0.000   0.480
   0.750  12.000   0.000   0.000   0.039   0.125   0.000   0.479
   0.775  12.000   0.000   0.000   0.042   0.128   0.000   0.479
   0.800  12.000   0.000   0.000   0.045   0.132   0.000   0.478
   0.825  12.000   0.000   0.000   0.047   0.135   0.000   0.477
   0.850  12.000   0.000   0.000   0.050   0.138   0.000   0.476
   0.875  12.000   0.000   0.000   0.053   0.140   0.000   0.475
   0.900  12.000   0.001   0.000   0.055   0.143   0.000   0.474
   0.925  12.000   0.001   0.000   0.058   0.145   0.000   0.472
   0.950  12.000   0.001   0.000   0.060   0.147   0.000   0.468
   0.975  11.000   0.001   0.000   0.063   0.148   0.000   0.465
   1.000  11.000   0.001   0.000   0.065   0.149   0.000   0.461
