  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  25.000   0.142   0.141   0.282
   0.025  24.000   0.142   0.142   0.284
   0.050  25.000   0.142   0.142   0.284
   0.075  23.000   0.140   0.142   0.282
   0.100  22.000   0.138   0.140   0.279
   0.125  19.000   0.135   0.139   0.276
   0.150  20.000   0.135   0.139   0.276
   0.175  20.000   0.135   0.140   0.277
   0.200  21.000   0.135   0.141   0.279
   0.225  21.000   0.134   0.142   0.279
   0.250  21.000   0.132   0.141   0.277
   0.275  21.000   0.130   0.140   0.274
   0.300  22.000   0.128   0.138   0.270
   0.325  22.000   0.125   0.135   0.265
   0.350  22.000   0.122   0.133   0.259
   0.375  21.000   0.120   0.130   0.253
   0.400  21.000   0.117   0.127   0.247
   0.425  21.000   0.114   0.123   0.241
   0.450  21.000   0.111   0.120   0.235
   0.475  21.000   0.108   0.117   0.229
   0.500  21.000   0.105   0.114   0.224
   0.525  21.000   0.103   0.112   0.218
   0.550  21.000   0.100   0.109   0.213
   0.575  21.000   0.098   0.106   0.208
   0.600  21.000   0.096   0.104   0.203
   0.625  21.000   0.093   0.102   0.199
   0.650  21.000   0.092   0.100   0.194
   0.675  22.000   0.090   0.097   0.190
   0.700  22.000   0.088   0.096   0.187
   0.725  22.000   0.086   0.094   0.183
   0.750  22.000   0.085   0.092   0.180
   0.775  22.000   0.083   0.091   0.177
   0.800  22.000   0.082   0.089   0.174
   0.825  23.000   0.081   0.088   0.171
   0.850  23.000   0.080   0.086   0.169
   0.875  23.000   0.079   0.085   0.166
   0.900  23.000   0.078   0.084   0.164
   0.925  23.000   0.078   0.084   0.164
   0.950  23.000   0.078   0.084   0.164
   0.975  23.000   0.078   0.084   0.164
   1.000  23.000   0.078   0.084   0.164
