  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.137   0.131   0.265
   0.025  27.000   0.140   0.133   0.270
   0.050  29.000   0.141   0.134   0.272
   0.075  28.000   0.142   0.135   0.273
   0.100  28.000   0.141   0.134   0.272
   0.125  28.000   0.139   0.133   0.270
   0.150  27.000   0.136   0.131   0.265
   0.175  26.000   0.133   0.128   0.259
   0.200  26.000   0.128   0.125   0.252
   0.225  25.000   0.123   0.121   0.243
   0.250  23.000   0.118   0.117   0.234
   0.275  22.000   0.113   0.112   0.225
   0.300  22.000   0.107   0.108   0.216
   0.325  20.000   0.103   0.104   0.207
   0.350  20.000   0.098   0.099   0.198
   0.375  22.000   0.095   0.096   0.191
   0.400  23.000   0.091   0.092   0.184
   0.425  24.000   0.088   0.089   0.177
   0.450  23.000   0.086   0.086   0.172
   0.475  24.000   0.083   0.084   0.167
   0.500  25.000   0.081   0.081   0.162
   0.525  25.000   0.078   0.079   0.158
   0.550  25.000   0.076   0.078   0.155
   0.575  26.000   0.074   0.076   0.151
   0.600  27.000   0.072   0.075   0.148
   0.625  26.000   0.071   0.073   0.145
   0.650  26.000   0.069   0.072   0.142
   0.675  26.000   0.067   0.071   0.140
   0.700  26.000   0.066   0.070   0.137
   0.725  26.000   0.065   0.068   0.135
   0.750  26.000   0.064   0.067   0.132
   0.775  26.000   0.062   0.066   0.130
   0.800  27.000   0.061   0.065   0.128
   0.825  27.000   0.060   0.064   0.126
   0.850  27.000   0.059   0.063   0.125
   0.875  28.000   0.058   0.063   0.123
   0.900  28.000   0.058   0.062   0.121
   0.925  27.000   0.058   0.062   0.121
   0.950  27.000   0.058   0.062   0.121
   0.975  28.000   0.058   0.062   0.121
   1.000  28.000   0.058   0.062   0.121
