  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.000   0.115   0.019   0.222   0.000   0.111   0.063
   0.025   6.000   0.000   0.112   0.017   0.217   0.000   0.107   0.066
   0.050   6.000   0.000   0.110   0.015   0.213   0.000   0.103   0.068
   0.075   6.000   0.000   0.109   0.014   0.211   0.000   0.100   0.072
   0.100   6.000   0.000   0.109   0.012   0.209   0.000   0.097   0.076
   0.125   6.000   0.000   0.109   0.011   0.208   0.000   0.096   0.081
   0.150   6.000   0.000   0.110   0.011   0.208   0.000   0.094   0.087
   0.175   5.000   0.000   0.111   0.010   0.209   0.000   0.094   0.094
   0.200   5.000   0.000   0.113   0.009   0.210   0.000   0.094   0.101
   0.225   5.000   0.000   0.115   0.009   0.212   0.000   0.094   0.110
   0.250   6.000   0.000   0.116   0.008   0.215   0.000   0.094   0.119
   0.275   6.000   0.000   0.118   0.008   0.217   0.000   0.094   0.128
   0.300   6.000   0.000   0.119   0.007   0.220   0.000   0.094   0.139
   0.325   7.000   0.000   0.121   0.007   0.223   0.000   0.094   0.149
   0.350   7.000   0.000   0.121   0.006   0.225   0.000   0.095   0.160
   0.375   7.000   0.000   0.122   0.006   0.227   0.000   0.094   0.170
   0.400   7.000   0.000   0.123   0.005   0.229   0.000   0.094   0.181
   0.425   8.000   0.000   0.123   0.005   0.231   0.000   0.094   0.192
   0.450   8.000   0.000   0.123   0.005   0.232   0.000   0.094   0.202
   0.475   8.000   0.000   0.123   0.004   0.233   0.000   0.093   0.212
   0.500   8.000   0.000   0.122   0.004   0.234   0.000   0.093   0.222
   0.525   8.000   0.000   0.122   0.003   0.234   0.000   0.092   0.232
   0.550   8.000   0.000   0.121   0.003   0.235   0.000   0.091   0.241
   0.575   8.000   0.000   0.120   0.003   0.235   0.000   0.091   0.250
   0.600   8.000   0.000   0.120   0.003   0.235   0.000   0.090   0.258
   0.625   8.000   0.000   0.119   0.003   0.235   0.000   0.089   0.266
   0.650   8.000   0.000   0.118   0.002   0.234   0.000   0.089   0.274
   0.675   8.000   0.000   0.117   0.002   0.234   0.000   0.088   0.282
   0.700   8.000   0.000   0.117   0.002   0.234   0.000   0.087   0.289
   0.725   8.000   0.000   0.116   0.002   0.233   0.000   0.087   0.296
   0.750   8.000   0.000   0.115   0.002   0.233   0.000   0.086   0.302
   0.775   8.000   0.000   0.114   0.002   0.232   0.000   0.085   0.308
   0.800   9.000   0.000   0.114   0.002   0.232   0.000   0.085   0.314
   0.825   9.000   0.000   0.113   0.002   0.231   0.000   0.084   0.320
   0.850   9.000   0.000   0.112   0.002   0.231   0.000   0.084   0.325
   0.875   9.000   0.000   0.111   0.001   0.230   0.000   0.083   0.330
   0.900   9.000   0.000   0.111   0.001   0.229   0.000   0.082   0.332
   0.925   9.000   0.000   0.110   0.001   0.228   0.000   0.082   0.335
   0.950   9.000   0.000   0.109   0.001   0.227   0.000   0.081   0.337
   0.975   9.000   0.000   0.108   0.001   0.226   0.000   0.081   0.339
   1.000   9.000   0.000   0.108   0.001   0.225   0.000   0.080   0.340
