  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.124   0.132   0.259
   0.025  22.000   0.126   0.134   0.262
   0.050  23.000   0.127   0.135   0.265
   0.075  23.000   0.128   0.135   0.266
   0.100  23.000   0.127   0.135   0.266
   0.125  23.000   0.127   0.135   0.265
   0.150  23.000   0.125   0.133   0.262
   0.175  23.000   0.123   0.131   0.258
   0.200  23.000   0.120   0.129   0.253
   0.225  21.000   0.118   0.126   0.248
   0.250  21.000   0.114   0.123   0.242
   0.275  22.000   0.111   0.120   0.235
   0.300  22.000   0.108   0.117   0.229
   0.325  22.000   0.105   0.114   0.223
   0.350  21.000   0.102   0.111   0.217
   0.375  21.000   0.099   0.108   0.211
   0.400  21.000   0.097   0.105   0.206
   0.425  20.000   0.094   0.103   0.200
   0.450  19.000   0.092   0.100   0.195
   0.475  20.000   0.090   0.097   0.190
   0.500  21.000   0.088   0.095   0.185
   0.525  20.000   0.086   0.092   0.180
   0.550  19.000   0.084   0.090   0.176
   0.575  17.000   0.083   0.088   0.173
   0.600  17.000   0.082   0.087   0.171
   0.625  19.000   0.082   0.087   0.171
   0.650  19.000   0.083   0.087   0.172
   0.675  21.000   0.083   0.088   0.172
   0.700  21.000   0.083   0.088   0.172
   0.725  21.000   0.082   0.087   0.172
   0.750  21.000   0.082   0.087   0.171
   0.775  21.000   0.081   0.086   0.170
   0.800  20.000   0.080   0.086   0.168
   0.825  20.000   0.079   0.085   0.167
   0.850  20.000   0.078   0.084   0.165
   0.875  20.000   0.078   0.083   0.163
   0.900  21.000   0.077   0.082   0.161
   0.925  21.000   0.077   0.082   0.161
   0.950  21.000   0.077   0.083   0.162
   0.975  20.000   0.077   0.083   0.162
   1.000  20.000   0.077   0.083   0.162
