  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  17.000   0.116   0.121   0.240
   0.025  19.000   0.118   0.126   0.247
   0.050  20.000   0.122   0.130   0.256
   0.075  19.000   0.124   0.134   0.262
   0.100  21.000   0.126   0.136   0.266
   0.125  21.000   0.127   0.137   0.269
   0.150  22.000   0.127   0.138   0.269
   0.175  22.000   0.127   0.137   0.268
   0.200  22.000   0.125   0.136   0.266
   0.225  21.000   0.124   0.135   0.263
   0.250  22.000   0.122   0.133   0.259
   0.275  22.000   0.120   0.131   0.255
   0.300  22.000   0.118   0.128   0.250
   0.325  21.000   0.115   0.125   0.245
   0.350  21.000   0.113   0.122   0.239
   0.375  21.000   0.110   0.120   0.234
   0.400  21.000   0.107   0.117   0.228
   0.425  21.000   0.105   0.114   0.222
   0.450  21.000   0.102   0.111   0.217
   0.475  21.000   0.100   0.108   0.211
   0.500  21.000   0.097   0.105   0.206
   0.525  20.000   0.095   0.103   0.201
   0.550  20.000   0.093   0.101   0.197
   0.575  19.000   0.091   0.098   0.192
   0.600  19.000   0.089   0.096   0.188
   0.625  19.000   0.087   0.094   0.184
   0.650  19.000   0.085   0.092   0.180
   0.675  19.000   0.084   0.090   0.177
   0.700  20.000   0.082   0.089   0.174
   0.725  20.000   0.081   0.087   0.171
   0.750  21.000   0.080   0.086   0.168
   0.775  21.000   0.079   0.084   0.165
   0.800  20.000   0.077   0.083   0.163
   0.825  20.000   0.076   0.082   0.160
   0.850  20.000   0.075   0.080   0.158
   0.875  20.000   0.074   0.079   0.155
   0.900  20.000   0.073   0.078   0.153
   0.925  21.000   0.072   0.077   0.151
   0.950  21.000   0.071   0.076   0.149
   0.975  22.000   0.070   0.076   0.148
   1.000  23.000   0.070   0.075   0.147
