  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   5.000   0.093   0.220   0.003   0.000   0.047   0.004   0.133
   0.025   5.000   0.090   0.225   0.002   0.000   0.043   0.005   0.140
   0.050   5.000   0.087   0.230   0.002   0.000   0.037   0.005   0.151
   0.075   5.000   0.084   0.235   0.002   0.000   0.032   0.005   0.162
   0.100   5.000   0.079   0.238   0.001   0.000   0.026   0.005   0.172
   0.125   5.000   0.073   0.240   0.001   0.000   0.022   0.004   0.179
   0.150   5.000   0.067   0.244   0.001   0.000   0.019   0.004   0.184
   0.175   5.000   0.061   0.248   0.001   0.000   0.017   0.003   0.189
   0.200   5.000   0.054   0.254   0.000   0.000   0.015   0.003   0.194
   0.225   5.000   0.048   0.261   0.000   0.000   0.014   0.002   0.199
   0.250   4.000   0.041   0.268   0.000   0.000   0.012   0.002   0.205
   0.275   4.000   0.036   0.276   0.000   0.000   0.011   0.001   0.212
   0.300   4.000   0.030   0.284   0.000   0.000   0.010   0.001   0.220
   0.325   4.000   0.025   0.293   0.000   0.000   0.009   0.001   0.227
   0.350   5.000   0.021   0.301   0.000   0.000   0.008   0.000   0.235
   0.375   6.000   0.017   0.309   0.000   0.000   0.007   0.000   0.243
   0.400   5.000   0.014   0.317   0.000   0.000   0.006   0.000   0.251
   0.425   5.000   0.011   0.325   0.000   0.000   0.005   0.000   0.259
   0.450   5.000   0.008   0.332   0.000   0.000   0.004   0.000   0.267
   0.475   5.000   0.006   0.338   0.000   0.000   0.003   0.000   0.274
   0.500   5.000   0.005   0.343   0.000   0.000   0.002   0.000   0.281
   0.525   5.000   0.003   0.348   0.000   0.000   0.002   0.000   0.287
   0.550   5.000   0.002   0.352   0.000   0.000   0.001   0.000   0.293
   0.575   6.000   0.002   0.356   0.000   0.000   0.001   0.000   0.299
   0.600   6.000   0.001   0.358   0.001   0.000   0.001   0.000   0.304
   0.625   6.000   0.001   0.360   0.002   0.000   0.000   0.000   0.309
   0.650   6.000   0.000   0.361   0.003   0.000   0.000   0.000   0.313
   0.675   6.000   0.000   0.361   0.004   0.000   0.000   0.000   0.317
   0.700   6.000   0.000   0.360   0.006   0.000   0.000   0.000   0.320
   0.725   7.000   0.000   0.359   0.009   0.000   0.000   0.000   0.323
   0.750   8.000   0.000   0.356   0.012   0.000   0.000   0.000   0.325
   0.775   8.000   0.000   0.353   0.015   0.000   0.000   0.000   0.327
   0.800   9.000   0.000   0.350   0.020   0.000   0.000   0.000   0.329
   0.825   9.000   0.000   0.345   0.024   0.000   0.000   0.000   0.331
   0.850   9.000   0.000   0.341   0.029   0.000   0.000   0.000   0.332
   0.875   9.000   0.000   0.336   0.035   0.000   0.000   0.000   0.333
   0.900   9.000   0.000   0.331   0.040   0.000   0.000   0.000   0.334
   0.925   9.000   0.000   0.325   0.046   0.000   0.000   0.000   0.335
   0.950  10.000   0.000   0.320   0.052   0.000   0.000   0.000   0.336
   0.975  10.000   0.000   0.314   0.058   0.000   0.000   0.000   0.337
   1.000  10.000   0.000   0.308   0.063   0.000   0.000   0.000   0.338
