  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  25.000   0.128   0.137   0.269
   0.025  26.000   0.131   0.139   0.273
   0.050  23.000   0.133   0.140   0.275
   0.075  23.000   0.134   0.139   0.275
   0.100  23.000   0.135   0.138   0.274
   0.125  21.000   0.135   0.138   0.274
   0.150  20.000   0.135   0.139   0.275
   0.175  21.000   0.133   0.140   0.276
   0.200  21.000   0.132   0.140   0.275
   0.225  21.000   0.130   0.139   0.273
   0.250  20.000   0.127   0.138   0.269
   0.275  22.000   0.125   0.135   0.264
   0.300  21.000   0.122   0.132   0.258
   0.325  21.000   0.118   0.129   0.251
   0.350  21.000   0.115   0.125   0.244
   0.375  21.000   0.111   0.122   0.237
   0.400  21.000   0.108   0.118   0.230
   0.425  21.000   0.105   0.114   0.223
   0.450  21.000   0.102   0.111   0.216
   0.475  21.000   0.098   0.107   0.210
   0.500  21.000   0.096   0.104   0.204
   0.525  21.000   0.093   0.101   0.198
   0.550  21.000   0.090   0.099   0.192
   0.575  21.000   0.088   0.096   0.188
   0.600  21.000   0.086   0.094   0.183
   0.625  19.000   0.084   0.092   0.179
   0.650  19.000   0.083   0.090   0.175
   0.675  19.000   0.081   0.088   0.172
   0.700  19.000   0.080   0.086   0.169
   0.725  19.000   0.079   0.085   0.166
   0.750  19.000   0.078   0.084   0.164
   0.775  20.000   0.077   0.083   0.162
   0.800  20.000   0.076   0.082   0.160
   0.825  20.000   0.076   0.081   0.159
   0.850  20.000   0.075   0.080   0.157
   0.875  19.000   0.075   0.080   0.156
   0.900  19.000   0.075   0.079   0.155
   0.925  19.000   0.075   0.079   0.156
   0.950  19.000   0.076   0.080   0.157
   0.975  19.000   0.076   0.080   0.158
   1.000  19.000   0.077   0.081   0.159
