  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.000   0.043   0.238   0.001   0.195   0.055
   0.025   6.000   0.000   0.040   0.231   0.001   0.192   0.058
   0.050   6.000   0.000   0.039   0.225   0.001   0.188   0.060
   0.075   6.000   0.000   0.037   0.220   0.001   0.185   0.064
   0.100   6.000   0.000   0.036   0.217   0.000   0.182   0.068
   0.125   6.000   0.000   0.035   0.214   0.000   0.181   0.072
   0.150   6.000   0.000   0.034   0.214   0.000   0.181   0.078
   0.175   6.000   0.000   0.033   0.214   0.000   0.181   0.085
   0.200   6.000   0.000   0.032   0.215   0.000   0.182   0.093
   0.225   6.000   0.000   0.031   0.216   0.000   0.184   0.101
   0.250   6.000   0.000   0.030   0.218   0.001   0.187   0.111
   0.275   6.000   0.000   0.028   0.220   0.001   0.190   0.121
   0.300   6.000   0.000   0.027   0.221   0.001   0.193   0.132
   0.325   7.000   0.000   0.025   0.222   0.001   0.196   0.144
   0.350   7.000   0.001   0.023   0.223   0.001   0.199   0.156
   0.375   7.000   0.001   0.021   0.223   0.001   0.202   0.168
   0.400   7.000   0.001   0.019   0.222   0.001   0.205   0.181
   0.425   7.000   0.001   0.017   0.221   0.001   0.208   0.193
   0.450   7.000   0.001   0.015   0.219   0.001   0.210   0.206
   0.475   7.000   0.001   0.013   0.217   0.001   0.213   0.218
   0.500   6.000   0.001   0.011   0.214   0.001   0.215   0.230
   0.525   6.000   0.001   0.009   0.211   0.001   0.217   0.242
   0.550   6.000   0.001   0.007   0.207   0.001   0.219   0.254
   0.575   6.000   0.002   0.006   0.203   0.001   0.221   0.265
   0.600   6.000   0.002   0.005   0.199   0.002   0.222   0.276
   0.625   7.000   0.002   0.003   0.195   0.002   0.224   0.286
   0.650   8.000   0.002   0.003   0.191   0.002   0.225   0.296
   0.675   8.000   0.003   0.002   0.186   0.002   0.226   0.305
   0.700   8.000   0.003   0.001   0.182   0.002   0.227   0.314
   0.725   8.000   0.003   0.001   0.177   0.002   0.227   0.322
   0.750   8.000   0.004   0.001   0.173   0.003   0.228   0.330
   0.775   9.000   0.004   0.001   0.168   0.003   0.229   0.338
   0.800   9.000   0.005   0.000   0.164   0.003   0.229   0.345
   0.825   9.000   0.005   0.000   0.160   0.003   0.230   0.352
   0.850   9.000   0.005   0.000   0.156   0.003   0.230   0.359
   0.875   9.000   0.006   0.000   0.152   0.004   0.230   0.365
   0.900   9.000   0.006   0.000   0.148   0.004   0.231   0.371
   0.925   9.000   0.007   0.000   0.144   0.004   0.231   0.377
   0.950   9.000   0.007   0.000   0.140   0.004   0.230   0.381
   0.975   9.000   0.008   0.000   0.136   0.005   0.230   0.384
   1.000   9.000   0.008   0.000   0.132   0.005   0.230   0.388
