  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.115   0.118   0.234
   0.025  29.000   0.118   0.121   0.240
   0.050  29.000   0.119   0.123   0.244
   0.075  28.000   0.120   0.125   0.248
   0.100  29.000   0.120   0.127   0.250
   0.125  28.000   0.120   0.127   0.250
   0.150  28.000   0.118   0.126   0.248
   0.175  28.000   0.116   0.125   0.245
   0.200  28.000   0.114   0.123   0.240
   0.225  27.000   0.111   0.120   0.235
   0.250  27.000   0.108   0.117   0.229
   0.275  28.000   0.105   0.113   0.222
   0.300  29.000   0.101   0.110   0.215
   0.325  29.000   0.098   0.106   0.208
   0.350  30.000   0.095   0.103   0.201
   0.375  30.000   0.092   0.099   0.194
   0.400  30.000   0.089   0.096   0.188
   0.425  30.000   0.086   0.093   0.182
   0.450  30.000   0.083   0.090   0.176
   0.475  28.000   0.081   0.087   0.170
   0.500  28.000   0.078   0.084   0.165
   0.525  28.000   0.076   0.082   0.161
   0.550  28.000   0.074   0.080   0.156
   0.575  28.000   0.072   0.078   0.152
   0.600  28.000   0.071   0.076   0.148
   0.625  29.000   0.069   0.074   0.145
   0.650  29.000   0.068   0.072   0.142
   0.675  29.000   0.066   0.071   0.139
   0.700  29.000   0.065   0.070   0.136
   0.725  29.000   0.064   0.068   0.134
   0.750  29.000   0.063   0.067   0.132
   0.775  29.000   0.062   0.066   0.130
   0.800  29.000   0.061   0.065   0.128
   0.825  30.000   0.060   0.064   0.126
   0.850  30.000   0.059   0.063   0.124
   0.875  30.000   0.059   0.062   0.123
   0.900  30.000   0.058   0.062   0.121
   0.925  30.000   0.057   0.061   0.120
   0.950  30.000   0.057   0.061   0.120
   0.975  30.000   0.057   0.061   0.120
   1.000  30.000   0.057   0.061   0.120
