  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.050   0.268   0.089   0.002   0.003   0.146
   0.025   6.000   0.054   0.256   0.087   0.002   0.003   0.145
   0.050   6.000   0.057   0.245   0.084   0.002   0.003   0.141
   0.075   6.000   0.059   0.234   0.083   0.001   0.003   0.137
   0.100   6.000   0.061   0.225   0.083   0.001   0.003   0.134
   0.125   6.000   0.062   0.217   0.084   0.001   0.003   0.132
   0.150   6.000   0.064   0.211   0.086   0.001   0.004   0.131
   0.175   6.000   0.066   0.206   0.088   0.001   0.004   0.131
   0.200   6.000   0.068   0.202   0.091   0.001   0.004   0.132
   0.225   6.000   0.070   0.198   0.094   0.001   0.005   0.134
   0.250   6.000   0.072   0.195   0.097   0.001   0.005   0.136
   0.275   6.000   0.075   0.193   0.100   0.001   0.006   0.138
   0.300   6.000   0.077   0.191   0.104   0.001   0.006   0.141
   0.325   6.000   0.080   0.189   0.107   0.001   0.006   0.143
   0.350   6.000   0.083   0.188   0.111   0.001   0.007   0.146
   0.375   6.000   0.086   0.187   0.114   0.001   0.007   0.149
   0.400   6.000   0.089   0.186   0.118   0.001   0.007   0.153
   0.425   6.000   0.091   0.186   0.122   0.001   0.008   0.156
   0.450   6.000   0.094   0.186   0.125   0.001   0.008   0.158
   0.475   6.000   0.097   0.185   0.129   0.001   0.008   0.161
   0.500   6.000   0.100   0.185   0.132   0.001   0.008   0.164
   0.525   6.000   0.103   0.185   0.136   0.001   0.008   0.166
   0.550   6.000   0.106   0.185   0.139   0.001   0.008   0.168
   0.575   6.000   0.108   0.186   0.143   0.001   0.008   0.170
   0.600   6.000   0.111   0.186   0.146   0.001   0.008   0.172
   0.625   6.000   0.113   0.186   0.150   0.001   0.009   0.173
   0.650   6.000   0.115   0.186   0.153   0.001   0.009   0.175
   0.675   6.000   0.118   0.186   0.157   0.001   0.009   0.176
   0.700   6.000   0.120   0.186   0.160   0.001   0.009   0.176
   0.725   6.000   0.122   0.186   0.164   0.001   0.009   0.176
   0.750   6.000   0.123   0.186   0.168   0.001   0.009   0.176
   0.775   6.000   0.125   0.186   0.172   0.001   0.009   0.176
   0.800   6.000   0.126   0.186   0.176   0.001   0.009   0.176
   0.825   6.000   0.128   0.186   0.180   0.001   0.009   0.175
   0.850   6.000   0.129   0.185   0.185   0.002   0.009   0.173
   0.875   6.000   0.131   0.185   0.190   0.002   0.009   0.171
   0.900   6.000   0.132   0.185   0.195   0.002   0.009   0.169
   0.925   6.000   0.133   0.185   0.200   0.002   0.009   0.167
   0.950   6.000   0.134   0.184   0.206   0.002   0.009   0.164
   0.975   6.000   0.134   0.183   0.211   0.002   0.009   0.159
   1.000   6.000   0.134   0.182   0.216   0.003   0.008   0.154
