  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  27.000   0.135   0.129   0.261
   0.025  27.000   0.137   0.130   0.265
   0.050  27.000   0.140   0.132   0.268
   0.075  28.000   0.141   0.132   0.269
   0.100  29.000   0.141   0.131   0.269
   0.125  28.000   0.141   0.130   0.267
   0.150  27.000   0.139   0.128   0.263
   0.175  27.000   0.136   0.126   0.258
   0.200  28.000   0.132   0.123   0.251
   0.225  27.000   0.127   0.119   0.243
   0.250  27.000   0.122   0.116   0.235
   0.275  27.000   0.116   0.112   0.226
   0.300  27.000   0.110   0.108   0.216
   0.325  26.000   0.104   0.103   0.207
   0.350  25.000   0.098   0.099   0.198
   0.375  26.000   0.094   0.095   0.190
   0.400  25.000   0.090   0.092   0.183
   0.425  26.000   0.087   0.089   0.177
   0.450  28.000   0.085   0.086   0.172
   0.475  26.000   0.082   0.084   0.167
   0.500  26.000   0.080   0.082   0.163
   0.525  27.000   0.077   0.081   0.160
   0.550  26.000   0.075   0.079   0.156
   0.575  26.000   0.073   0.077   0.153
   0.600  26.000   0.072   0.076   0.149
   0.625  26.000   0.070   0.074   0.146
   0.650  28.000   0.068   0.073   0.143
   0.675  28.000   0.067   0.071   0.140
   0.700  28.000   0.066   0.070   0.138
   0.725  28.000   0.064   0.069   0.135
   0.750  29.000   0.063   0.067   0.133
   0.775  28.000   0.062   0.066   0.130
   0.800  29.000   0.061   0.065   0.128
   0.825  29.000   0.060   0.064   0.126
   0.850  28.000   0.059   0.063   0.124
   0.875  28.000   0.059   0.062   0.122
   0.900  28.000   0.059   0.062   0.122
   0.925  28.000   0.059   0.062   0.123
   0.950  27.000   0.059   0.062   0.123
   0.975  27.000   0.059   0.062   0.123
   1.000  27.000   0.059   0.062   0.123
