  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.123   0.131   0.258
   0.025  21.000   0.125   0.133   0.262
   0.050  22.000   0.126   0.135   0.265
   0.075  22.000   0.126   0.136   0.267
   0.100  22.000   0.126   0.136   0.267
   0.125  22.000   0.126   0.136   0.266
   0.150  22.000   0.124   0.135   0.264
   0.175  22.000   0.123   0.133   0.260
   0.200  21.000   0.121   0.131   0.256
   0.225  21.000   0.118   0.129   0.252
   0.250  20.000   0.116   0.126   0.246
   0.275  20.000   0.113   0.123   0.241
   0.300  20.000   0.111   0.120   0.235
   0.325  21.000   0.108   0.117   0.229
   0.350  21.000   0.106   0.114   0.223
   0.375  21.000   0.103   0.110   0.216
   0.400  18.000   0.100   0.107   0.210
   0.425  17.000   0.100   0.106   0.208
   0.450  19.000   0.100   0.106   0.209
   0.475  19.000   0.101   0.107   0.210
   0.500  19.000   0.101   0.107   0.211
   0.525  21.000   0.100   0.107   0.210
   0.550  22.000   0.099   0.106   0.208
   0.575  22.000   0.097   0.105   0.205
   0.600  23.000   0.095   0.103   0.202
   0.625  23.000   0.094   0.101   0.198
   0.650  23.000   0.092   0.099   0.194
   0.675  21.000   0.090   0.098   0.191
   0.700  21.000   0.088   0.096   0.187
   0.725  21.000   0.086   0.094   0.183
   0.750  21.000   0.085   0.092   0.180
   0.775  21.000   0.083   0.091   0.177
   0.800  21.000   0.082   0.089   0.174
   0.825  21.000   0.080   0.087   0.171
   0.850  21.000   0.079   0.086   0.168
   0.875  21.000   0.078   0.085   0.166
   0.900  21.000   0.077   0.084   0.163
   0.925  21.000   0.077   0.084   0.163
   0.950  21.000   0.077   0.084   0.163
   0.975  21.000   0.077   0.083   0.163
   1.000  21.000   0.077   0.083   0.163
