  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   7.000   0.000   0.320   0.062   0.045   0.001   0.161
   0.025   7.000   0.000   0.313   0.065   0.039   0.001   0.161
   0.050   7.000   0.000   0.305   0.067   0.034   0.001   0.162
   0.075   7.000   0.000   0.297   0.069   0.030   0.001   0.165
   0.100   7.000   0.000   0.290   0.071   0.027   0.001   0.171
   0.125   7.000   0.000   0.283   0.074   0.024   0.001   0.178
   0.150   8.000   0.000   0.277   0.076   0.021   0.000   0.186
   0.175   8.000   0.000   0.272   0.079   0.019   0.000   0.196
   0.200   8.000   0.000   0.268   0.082   0.017   0.000   0.206
   0.225   8.000   0.000   0.265   0.085   0.015   0.000   0.217
   0.250   8.000   0.000   0.262   0.088   0.013   0.000   0.228
   0.275   7.000   0.000   0.259   0.091   0.011   0.000   0.239
   0.300   7.000   0.000   0.257   0.095   0.010   0.000   0.250
   0.325   7.000   0.000   0.255   0.098   0.008   0.000   0.260
   0.350   7.000   0.000   0.254   0.102   0.007   0.000   0.270
   0.375   7.000   0.000   0.253   0.105   0.005   0.000   0.279
   0.400   7.000   0.000   0.252   0.109   0.004   0.000   0.287
   0.425   7.000   0.000   0.251   0.112   0.003   0.000   0.295
   0.450   7.000   0.000   0.250   0.115   0.003   0.000   0.303
   0.475   8.000   0.000   0.249   0.119   0.002   0.000   0.309
   0.500   8.000   0.000   0.248   0.122   0.001   0.000   0.315
   0.525   8.000   0.000   0.247   0.125   0.001   0.000   0.321
   0.550   8.000   0.000   0.246   0.128   0.001   0.000   0.326
   0.575   8.000   0.000   0.245   0.131   0.001   0.000   0.331
   0.600   9.000   0.000   0.244   0.134   0.000   0.000   0.336
   0.625   9.000   0.000   0.243   0.136   0.000   0.000   0.340
   0.650   9.000   0.000   0.242   0.139   0.000   0.000   0.344
   0.675   9.000   0.000   0.241   0.142   0.000   0.000   0.347
   0.700   9.000   0.000   0.240   0.144   0.000   0.000   0.351
   0.725   9.000   0.000   0.240   0.147   0.000   0.000   0.354
   0.750   9.000   0.000   0.239   0.149   0.000   0.000   0.357
   0.775   9.000   0.000   0.238   0.151   0.000   0.000   0.360
   0.800   9.000   0.000   0.237   0.153   0.000   0.000   0.362
   0.825   9.000   0.000   0.236   0.156   0.000   0.000   0.365
   0.850   9.000   0.000   0.235   0.158   0.000   0.000   0.367
   0.875   9.000   0.000   0.235   0.160   0.000   0.000   0.369
   0.900   9.000   0.000   0.234   0.161   0.000   0.000   0.371
   0.925   9.000   0.000   0.233   0.163   0.000   0.000   0.373
   0.950   9.000   0.000   0.232   0.165   0.000   0.000   0.375
   0.975   9.000   0.000   0.232   0.167   0.000   0.000   0.376
   1.000   9.000   0.000   0.231   0.168   0.000   0.000   0.377
