  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.121   0.127   0.250
   0.025  21.000   0.123   0.129   0.254
   0.050  21.000   0.123   0.130   0.257
   0.075  21.000   0.124   0.131   0.258
   0.100  21.000   0.123   0.132   0.259
   0.125  21.000   0.123   0.131   0.258
   0.150  22.000   0.122   0.131   0.256
   0.175  21.000   0.120   0.129   0.253
   0.200  21.000   0.118   0.128   0.250
   0.225  21.000   0.116   0.126   0.246
   0.250  21.000   0.114   0.123   0.241
   0.275  20.000   0.112   0.121   0.237
   0.300  20.000   0.109   0.119   0.232
   0.325  21.000   0.107   0.116   0.227
   0.350  21.000   0.105   0.113   0.222
   0.375  20.000   0.103   0.111   0.217
   0.400  20.000   0.101   0.108   0.212
   0.425  19.000   0.098   0.105   0.206
   0.450  19.000   0.096   0.102   0.201
   0.475  17.000   0.095   0.100   0.197
   0.500  19.000   0.094   0.099   0.196
   0.525  19.000   0.095   0.100   0.196
   0.550  20.000   0.095   0.100   0.198
   0.575  21.000   0.095   0.101   0.198
   0.600  21.000   0.095   0.101   0.198
   0.625  21.000   0.094   0.100   0.197
   0.650  21.000   0.093   0.099   0.195
   0.675  21.000   0.092   0.098   0.193
   0.700  21.000   0.091   0.097   0.191
   0.725  21.000   0.089   0.096   0.188
   0.750  21.000   0.088   0.095   0.185
   0.775  21.000   0.086   0.093   0.182
   0.800  21.000   0.085   0.092   0.180
   0.825  20.000   0.084   0.090   0.177
   0.850  20.000   0.082   0.089   0.174
   0.875  21.000   0.081   0.088   0.172
   0.900  22.000   0.080   0.087   0.170
   0.925  22.000   0.079   0.086   0.167
   0.950  22.000   0.078   0.084   0.165
   0.975  22.000   0.078   0.084   0.165
   1.000  22.000   0.078   0.084   0.165
