  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.137   0.138   0.275
   0.025  21.000   0.137   0.139   0.277
   0.050  20.000   0.136   0.139   0.276
   0.075  18.000   0.135   0.139   0.276
   0.100  20.000   0.136   0.140   0.278
   0.125  20.000   0.137   0.143   0.282
   0.150  21.000   0.138   0.145   0.286
   0.175  21.000   0.138   0.146   0.287
   0.200  21.000   0.137   0.145   0.286
   0.225  21.000   0.135   0.144   0.284
   0.250  22.000   0.133   0.143   0.280
   0.275  22.000   0.131   0.141   0.275
   0.300  23.000   0.128   0.138   0.270
   0.325  23.000   0.125   0.135   0.264
   0.350  23.000   0.122   0.132   0.258
   0.375  23.000   0.119   0.129   0.252
   0.400  22.000   0.116   0.126   0.246
   0.425  22.000   0.113   0.123   0.240
   0.450  21.000   0.110   0.120   0.234
   0.475  21.000   0.107   0.117   0.228
   0.500  21.000   0.104   0.114   0.222
   0.525  21.000   0.102   0.111   0.216
   0.550  21.000   0.099   0.108   0.211
   0.575  21.000   0.097   0.106   0.206
   0.600  21.000   0.095   0.103   0.202
   0.625  21.000   0.093   0.101   0.197
   0.650  21.000   0.091   0.099   0.193
   0.675  21.000   0.089   0.097   0.189
   0.700  21.000   0.087   0.095   0.185
   0.725  21.000   0.085   0.093   0.182
   0.750  21.000   0.084   0.091   0.178
   0.775  21.000   0.082   0.090   0.175
   0.800  21.000   0.081   0.088   0.172
   0.825  21.000   0.080   0.087   0.170
   0.850  21.000   0.079   0.086   0.167
   0.875  21.000   0.077   0.084   0.165
   0.900  21.000   0.076   0.083   0.162
   0.925  21.000   0.076   0.083   0.162
   0.950  21.000   0.076   0.083   0.162
   0.975  21.000   0.076   0.083   0.162
   1.000  21.000   0.076   0.083   0.162
