  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  19.000   0.109   0.110   0.220
   0.025  20.000   0.112   0.115   0.228
   0.050  21.000   0.115   0.119   0.236
   0.075  21.000   0.117   0.122   0.242
   0.100  21.000   0.119   0.125   0.247
   0.125  21.000   0.120   0.127   0.250
   0.150  21.000   0.121   0.129   0.253
   0.175  22.000   0.122   0.130   0.255
   0.200  23.000   0.122   0.130   0.256
   0.225  22.000   0.122   0.130   0.256
   0.250  22.000   0.121   0.130   0.255
   0.275  22.000   0.121   0.129   0.254
   0.300  22.000   0.119   0.128   0.251
   0.325  22.000   0.118   0.127   0.249
   0.350  22.000   0.117   0.125   0.246
   0.375  22.000   0.115   0.124   0.242
   0.400  22.000   0.113   0.122   0.238
   0.425  22.000   0.111   0.120   0.234
   0.450  21.000   0.109   0.117   0.230
   0.475  21.000   0.107   0.115   0.226
   0.500  21.000   0.105   0.113   0.222
   0.525  20.000   0.103   0.111   0.217
   0.550  20.000   0.101   0.109   0.213
   0.575  20.000   0.099   0.107   0.209
   0.600  20.000   0.097   0.105   0.205
   0.625  19.000   0.096   0.103   0.201
   0.650  19.000   0.094   0.101   0.198
   0.675  19.000   0.092   0.099   0.194
   0.700  19.000   0.091   0.097   0.191
   0.725  19.000   0.089   0.096   0.188
   0.750  19.000   0.088   0.094   0.185
   0.775  19.000   0.087   0.093   0.182
   0.800  19.000   0.085   0.091   0.179
   0.825  19.000   0.084   0.090   0.177
   0.850  19.000   0.083   0.089   0.174
   0.875  19.000   0.082   0.088   0.172
   0.900  19.000   0.081   0.087   0.170
   0.925  19.000   0.080   0.086   0.168
   0.950  19.000   0.080   0.086   0.168
   0.975  19.000   0.080   0.086   0.168
   1.000  19.000   0.080   0.086   0.169
