  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.034   0.000   0.201   0.028   0.018   0.226   0.026
   0.025   6.000   0.035   0.000   0.193   0.029   0.018   0.229   0.024
   0.050   5.000   0.037   0.000   0.185   0.030   0.018   0.232   0.023
   0.075   5.000   0.038   0.000   0.178   0.031   0.018   0.237   0.021
   0.100   5.000   0.040   0.000   0.173   0.033   0.018   0.242   0.020
   0.125   5.000   0.042   0.000   0.168   0.035   0.018   0.248   0.018
   0.150   5.000   0.044   0.000   0.164   0.037   0.018   0.255   0.016
   0.175   5.000   0.046   0.000   0.161   0.038   0.017   0.262   0.015
   0.200   5.000   0.048   0.000   0.158   0.040   0.017   0.267   0.014
   0.225   5.000   0.050   0.000   0.153   0.041   0.017   0.269   0.014
   0.250   5.000   0.051   0.000   0.148   0.042   0.017   0.268   0.014
   0.275   5.000   0.051   0.000   0.144   0.042   0.016   0.268   0.015
   0.300   5.000   0.052   0.000   0.140   0.042   0.016   0.267   0.017
   0.325   5.000   0.052   0.000   0.137   0.042   0.016   0.268   0.020
   0.350   5.000   0.052   0.000   0.134   0.043   0.016   0.268   0.024
   0.375   5.000   0.052   0.000   0.132   0.043   0.016   0.270   0.030
   0.400   5.000   0.052   0.000   0.130   0.043   0.017   0.271   0.036
   0.425   6.000   0.052   0.000   0.128   0.042   0.017   0.272   0.044
   0.450   6.000   0.051   0.000   0.126   0.042   0.017   0.274   0.052
   0.475   7.000   0.051   0.000   0.124   0.042   0.018   0.275   0.061
   0.500   7.000   0.050   0.000   0.122   0.041   0.018   0.276   0.070
   0.525   8.000   0.050   0.000   0.120   0.041   0.018   0.277   0.080
   0.550   9.000   0.049   0.000   0.117   0.041   0.019   0.278   0.091
   0.575   9.000   0.048   0.000   0.115   0.040   0.019   0.278   0.102
   0.600   9.000   0.047   0.000   0.113   0.040   0.019   0.278   0.113
   0.625   9.000   0.046   0.000   0.110   0.039   0.020   0.278   0.124
   0.650   9.000   0.044   0.000   0.108   0.039   0.020   0.278   0.136
   0.675   9.000   0.043   0.000   0.105   0.038   0.020   0.277   0.148
   0.700   9.000   0.042   0.000   0.103   0.037   0.021   0.277   0.159
   0.725   9.000   0.040   0.000   0.100   0.037   0.021   0.276   0.171
   0.750   9.000   0.039   0.000   0.098   0.036   0.021   0.275   0.182
   0.775   9.000   0.037   0.000   0.095   0.036   0.021   0.273   0.194
   0.800   9.000   0.036   0.000   0.093   0.035   0.021   0.272   0.205
   0.825  10.000   0.035   0.000   0.090   0.035   0.021   0.270   0.216
   0.850  10.000   0.033   0.000   0.088   0.035   0.021   0.269   0.227
   0.875  10.000   0.032   0.000   0.085   0.034   0.021   0.267   0.237
   0.900  10.000   0.031   0.000   0.083   0.034   0.021   0.265   0.248
   0.925  10.000   0.029   0.000   0.081   0.033   0.021   0.263   0.258
   0.950  10.000   0.028   0.000   0.078   0.033   0.021   0.260   0.265
   0.975  10.000   0.026   0.000   0.075   0.032   0.021   0.257   0.273
   1.000  10.000   0.025   0.000   0.073   0.032   0.021   0.254   0.280
