  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.125   0.118   0.241
   0.025  23.000   0.124   0.118   0.239
   0.050  19.000   0.120   0.116   0.235
   0.075  18.000   0.116   0.114   0.230
   0.100  18.000   0.112   0.112   0.224
   0.125  15.000   0.108   0.110   0.219
   0.150  15.000   0.105   0.109   0.215
   0.175  14.000   0.104   0.108   0.213
   0.200  17.000   0.102   0.108   0.212
   0.225  19.000   0.101   0.107   0.211
   0.250  18.000   0.100   0.106   0.209
   0.275  19.000   0.099   0.105   0.206
   0.300  19.000   0.097   0.103   0.203
   0.325  20.000   0.095   0.101   0.199
   0.350  21.000   0.093   0.099   0.194
   0.375  21.000   0.090   0.097   0.190
   0.400  21.000   0.088   0.095   0.185
   0.425  21.000   0.086   0.093   0.181
   0.450  21.000   0.084   0.091   0.177
   0.475  20.000   0.082   0.089   0.174
   0.500  20.000   0.081   0.087   0.171
   0.525  20.000   0.079   0.086   0.168
   0.550  19.000   0.078   0.085   0.166
   0.575  19.000   0.077   0.084   0.164
   0.600  19.000   0.076   0.083   0.162
   0.625  19.000   0.076   0.083   0.161
   0.650  19.000   0.075   0.082   0.160
   0.675  19.000   0.075   0.081   0.159
   0.700  19.000   0.074   0.081   0.158
   0.725  19.000   0.074   0.080   0.157
   0.750  19.000   0.074   0.080   0.156
   0.775  20.000   0.073   0.080   0.155
   0.800  20.000   0.073   0.079   0.155
   0.825  20.000   0.073   0.079   0.154
   0.850  20.000   0.072   0.078   0.153
   0.875  21.000   0.072   0.078   0.152
   0.900  21.000   0.071   0.077   0.151
   0.925  22.000   0.071   0.077   0.150
   0.950  22.000   0.071   0.076   0.150
   0.975  22.000   0.070   0.076   0.149
   1.000  23.000   0.070   0.076   0.148
