  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   5.000   0.015   0.003   0.327   0.000   0.009   0.000   0.203
   0.025   5.000   0.012   0.006   0.327   0.000   0.007   0.000   0.208
   0.050   5.000   0.010   0.009   0.325   0.000   0.005   0.000   0.213
   0.075   5.000   0.008   0.013   0.321   0.000   0.004   0.000   0.217
   0.100   6.000   0.006   0.018   0.316   0.000   0.003   0.000   0.222
   0.125   6.000   0.005   0.023   0.311   0.000   0.002   0.000   0.226
   0.150   6.000   0.004   0.028   0.306   0.000   0.001   0.000   0.232
   0.175   6.000   0.004   0.034   0.301   0.000   0.001   0.000   0.238
   0.200   6.000   0.003   0.039   0.296   0.000   0.001   0.000   0.244
   0.225   7.000   0.003   0.044   0.291   0.000   0.001   0.000   0.249
   0.250   7.000   0.002   0.049   0.284   0.000   0.000   0.000   0.253
   0.275   8.000   0.002   0.053   0.276   0.000   0.000   0.000   0.254
   0.300   8.000   0.002   0.058   0.268   0.000   0.000   0.000   0.255
   0.325   8.000   0.001   0.064   0.260   0.000   0.000   0.000   0.256
   0.350   8.000   0.001   0.070   0.252   0.000   0.000   0.000   0.258
   0.375   8.000   0.001   0.077   0.244   0.000   0.000   0.000   0.260
   0.400   8.000   0.001   0.084   0.236   0.000   0.000   0.000   0.262
   0.425   8.000   0.001   0.091   0.229   0.000   0.000   0.000   0.265
   0.450   8.000   0.001   0.098   0.222   0.000   0.000   0.000   0.268
   0.475   8.000   0.000   0.105   0.216   0.000   0.000   0.000   0.271
   0.500   8.000   0.000   0.111   0.210   0.000   0.000   0.000   0.275
   0.525   8.000   0.000   0.118   0.205   0.000   0.000   0.000   0.279
   0.550   8.000   0.000   0.123   0.201   0.000   0.000   0.000   0.283
   0.575   8.000   0.000   0.129   0.197   0.000   0.000   0.000   0.287
   0.600   8.000   0.000   0.134   0.194   0.000   0.000   0.000   0.291
   0.625   8.000   0.000   0.139   0.191   0.000   0.000   0.000   0.295
   0.650   8.000   0.000   0.144   0.188   0.000   0.000   0.000   0.298
   0.675   8.000   0.000   0.148   0.186   0.000   0.000   0.000   0.302
   0.700   8.000   0.000   0.152   0.184   0.000   0.000   0.000   0.306
   0.725   8.000   0.000   0.155   0.183   0.000   0.000   0.000   0.309
   0.750   8.000   0.000   0.158   0.181   0.000   0.000   0.000   0.312
   0.775   8.000   0.000   0.162   0.180   0.000   0.000   0.000   0.315
   0.800   8.000   0.000   0.164   0.179   0.000   0.000   0.000   0.318
   0.825   8.000   0.000   0.167   0.178   0.000   0.000   0.000   0.321
   0.850   9.000   0.000   0.169   0.178   0.000   0.000   0.000   0.324
   0.875   9.000   0.000   0.172   0.177   0.000   0.000   0.000   0.326
   0.900   9.000   0.000   0.174   0.177   0.000   0.000   0.000   0.329
   0.925   9.000   0.000   0.176   0.176   0.000   0.000   0.000   0.331
   0.950   9.000   0.000   0.178   0.176   0.000   0.000   0.000   0.333
   0.975   9.000   0.000   0.179   0.176   0.000   0.000   0.000   0.336
   1.000   9.000   0.000   0.181   0.176   0.000   0.000   0.000   0.337
