  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.039   0.001   0.191   0.160   0.000   0.086
   0.025   6.000   0.037   0.001   0.187   0.153   0.000   0.091
   0.050   6.000   0.036   0.001   0.184   0.147   0.000   0.096
   0.075   6.000   0.035   0.001   0.183   0.140   0.000   0.103
   0.100   6.000   0.034   0.001   0.183   0.135   0.000   0.112
   0.125   6.000   0.032   0.001   0.184   0.131   0.000   0.120
   0.150   6.000   0.030   0.001   0.182   0.127   0.000   0.126
   0.175   6.000   0.028   0.001   0.180   0.121   0.000   0.131
   0.200   7.000   0.027   0.001   0.178   0.116   0.000   0.136
   0.225   7.000   0.026   0.001   0.177   0.112   0.000   0.141
   0.250   7.000   0.027   0.002   0.178   0.109   0.000   0.148
   0.275   7.000   0.027   0.002   0.179   0.108   0.000   0.156
   0.300   7.000   0.027   0.002   0.180   0.106   0.000   0.165
   0.325   8.000   0.028   0.003   0.182   0.106   0.000   0.174
   0.350   8.000   0.028   0.003   0.183   0.106   0.000   0.184
   0.375   8.000   0.028   0.003   0.184   0.106   0.000   0.194
   0.400   8.000   0.029   0.003   0.185   0.107   0.000   0.204
   0.425   8.000   0.029   0.003   0.185   0.108   0.000   0.215
   0.450   8.000   0.028   0.003   0.186   0.109   0.000   0.225
   0.475   9.000   0.028   0.003   0.186   0.110   0.000   0.235
   0.500  10.000   0.028   0.003   0.186   0.111   0.000   0.245
   0.525  11.000   0.027   0.003   0.186   0.112   0.000   0.254
   0.550  11.000   0.027   0.003   0.186   0.114   0.000   0.264
   0.575  11.000   0.026   0.003   0.185   0.115   0.000   0.272
   0.600  11.000   0.026   0.002   0.185   0.116   0.000   0.281
   0.625  11.000   0.025   0.002   0.184   0.117   0.000   0.289
   0.650  11.000   0.025   0.002   0.183   0.118   0.000   0.297
   0.675  11.000   0.024   0.002   0.183   0.120   0.000   0.304
   0.700  11.000   0.023   0.002   0.182   0.121   0.000   0.312
   0.725  11.000   0.023   0.002   0.181   0.122   0.000   0.318
   0.750  11.000   0.022   0.002   0.180   0.123   0.000   0.325
   0.775  11.000   0.022   0.001   0.179   0.124   0.000   0.330
   0.800  11.000   0.021   0.001   0.178   0.125   0.000   0.336
   0.825  11.000   0.020   0.001   0.178   0.126   0.000   0.341
   0.850  11.000   0.020   0.001   0.177   0.127   0.000   0.346
   0.875  11.000   0.019   0.001   0.176   0.128   0.000   0.351
   0.900  11.000   0.019   0.001   0.175   0.129   0.000   0.355
   0.925  11.000   0.018   0.001   0.173   0.130   0.000   0.357
   0.950  11.000   0.018   0.001   0.172   0.130   0.000   0.359
   0.975  11.000   0.017   0.001   0.170   0.130   0.000   0.360
   1.000  11.000   0.017   0.001   0.169   0.131   0.000   0.362
