  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  25.000   0.132   0.137   0.271
   0.025  25.000   0.135   0.139   0.276
   0.050  25.000   0.137   0.141   0.279
   0.075  25.000   0.138   0.141   0.281
   0.100  24.000   0.138   0.141   0.280
   0.125  25.000   0.138   0.139   0.277
   0.150  24.000   0.136   0.137   0.273
   0.175  24.000   0.133   0.134   0.267
   0.200  23.000   0.130   0.130   0.260
   0.225  22.000   0.126   0.127   0.254
   0.250  21.000   0.123   0.124   0.248
   0.275  20.000   0.121   0.123   0.244
   0.300  21.000   0.118   0.121   0.241
   0.325  21.000   0.116   0.120   0.237
   0.350  21.000   0.114   0.118   0.234
   0.375  21.000   0.111   0.116   0.230
   0.400  22.000   0.109   0.114   0.226
   0.425  22.000   0.106   0.112   0.221
   0.450  21.000   0.103   0.110   0.216
   0.475  21.000   0.101   0.108   0.212
   0.500  21.000   0.099   0.106   0.207
   0.525  20.000   0.096   0.103   0.203
   0.550  21.000   0.094   0.101   0.198
   0.575  21.000   0.092   0.099   0.194
   0.600  21.000   0.090   0.097   0.190
   0.625  21.000   0.088   0.095   0.186
   0.650  21.000   0.086   0.093   0.183
   0.675  21.000   0.085   0.092   0.179
   0.700  21.000   0.083   0.090   0.176
   0.725  21.000   0.082   0.089   0.173
   0.750  21.000   0.080   0.087   0.170
   0.775  21.000   0.079   0.086   0.168
   0.800  21.000   0.078   0.084   0.165
   0.825  21.000   0.077   0.083   0.163
   0.850  22.000   0.076   0.082   0.160
   0.875  22.000   0.076   0.082   0.161
   0.900  22.000   0.076   0.082   0.161
   0.925  22.000   0.076   0.082   0.161
   0.950  22.000   0.076   0.083   0.161
   0.975  22.000   0.076   0.083   0.161
   1.000  22.000   0.076   0.083   0.162
