  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.114   0.108   0.220
   0.025  21.000   0.115   0.109   0.222
   0.050  21.000   0.116   0.110   0.224
   0.075  21.000   0.116   0.110   0.224
   0.100  21.000   0.116   0.110   0.224
   0.125  21.000   0.115   0.110   0.222
   0.150  21.000   0.113   0.108   0.220
   0.175  21.000   0.112   0.107   0.217
   0.200  21.000   0.109   0.105   0.213
   0.225  21.000   0.107   0.103   0.209
   0.250  21.000   0.105   0.101   0.204
   0.275  21.000   0.102   0.098   0.199
   0.300  21.000   0.099   0.096   0.194
   0.325  21.000   0.096   0.094   0.189
   0.350  21.000   0.094   0.091   0.184
   0.375  22.000   0.091   0.089   0.179
   0.400  23.000   0.088   0.087   0.174
   0.425  23.000   0.086   0.085   0.170
   0.450  23.000   0.083   0.082   0.165
   0.475  26.000   0.081   0.081   0.161
   0.500  26.000   0.079   0.079   0.158
   0.525  26.000   0.077   0.077   0.154
   0.550  26.000   0.075   0.075   0.150
   0.575  27.000   0.073   0.074   0.147
   0.600  28.000   0.071   0.072   0.144
   0.625  28.000   0.070   0.071   0.141
   0.650  28.000   0.068   0.070   0.138
   0.675  27.000   0.067   0.069   0.136
   0.700  26.000   0.065   0.067   0.134
   0.725  26.000   0.064   0.066   0.131
   0.750  26.000   0.063   0.065   0.129
   0.775  26.000   0.062   0.064   0.127
   0.800  26.000   0.061   0.063   0.125
   0.825  26.000   0.060   0.062   0.123
   0.850  26.000   0.059   0.062   0.121
   0.875  26.000   0.058   0.061   0.120
   0.900  26.000   0.057   0.060   0.118
   0.925  26.000   0.056   0.059   0.117
   0.950  26.000   0.055   0.059   0.115
   0.975  26.000   0.055   0.058   0.114
   1.000  26.000   0.054   0.057   0.113
