          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.60790E+00  0.60049E+02    0.31250E+00  0.31250E+00 -0.62500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13965E+02  0.23741E+02 -0.37706E+02 -0.27820E+01  0.74402E+00 -0.10171E+02      982.00
  0.63145E+00  0.60488E+02    0.32500E+00  0.32500E+00 -0.65000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13858E+02  0.24006E+02 -0.37864E+02 -0.30167E+01  0.44243E+00 -0.10456E+02      982.00
  0.65492E+00  0.60924E+02    0.33750E+00  0.33750E+00 -0.67500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13780E+02  0.24250E+02 -0.38031E+02 -0.32381E+01  0.16145E+00 -0.10703E+02      982.00
  0.67833E+00  0.61352E+02    0.35000E+00  0.35000E+00 -0.70000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13727E+02  0.24478E+02 -0.38205E+02 -0.34467E+01 -0.10223E+00 -0.10917E+02      982.00
  0.70168E+00  0.61772E+02    0.36250E+00  0.36250E+00 -0.72500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13696E+02  0.24690E+02 -0.38386E+02 -0.36433E+01 -0.35124E+00 -0.11098E+02      982.00
  0.72498E+00  0.62181E+02    0.37500E+00  0.37500E+00 -0.75000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13683E+02  0.24888E+02 -0.38572E+02 -0.38301E+01 -0.58978E+00 -0.11251E+02      982.00
  0.74825E+00  0.62573E+02    0.38750E+00  0.38750E+00 -0.77500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13693E+02  0.25067E+02 -0.38760E+02 -0.39995E+01 -0.80740E+00 -0.11375E+02      982.00
  0.77148E+00  0.62950E+02    0.40000E+00  0.40000E+00 -0.80000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13721E+02  0.25229E+02 -0.38950E+02 -0.41554E+01 -0.10107E+01 -0.11475E+02      982.00
  0.79468E+00  0.63310E+02    0.41250E+00  0.41250E+00 -0.82500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13766E+02  0.25376E+02 -0.39141E+02 -0.42960E+01 -0.11982E+01 -0.11552E+02      982.00
  0.81786E+00  0.63656E+02    0.42500E+00  0.42500E+00 -0.85000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13821E+02  0.25511E+02 -0.39332E+02 -0.44287E+01 -0.13800E+01 -0.11609E+02      982.00
  0.84103E+00  0.63984E+02    0.43750E+00  0.43750E+00 -0.87500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13892E+02  0.25630E+02 -0.39522E+02 -0.45445E+01 -0.15444E+01 -0.11648E+02      982.00
  0.86420E+00  0.64293E+02    0.45000E+00  0.45000E+00 -0.90000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13975E+02  0.25735E+02 -0.39709E+02 -0.46471E+01 -0.16963E+01 -0.11670E+02      982.00
  0.88736E+00  0.64588E+02    0.46250E+00  0.46250E+00 -0.92500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.14067E+02  0.25829E+02 -0.39895E+02 -0.47391E+01 -0.18395E+01 -0.11679E+02      982.00
  0.91052E+00  0.64808E+02    0.47500E+00  0.47500E+00 -0.95000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.14171E+02  0.25878E+02 -0.40049E+02 -0.47858E+01 -0.19719E+01 -0.11663E+02      982.00
  0.93369E+00  0.65015E+02    0.48750E+00  0.48750E+00 -0.97500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.14282E+02  0.25918E+02 -0.40200E+02 -0.48240E+01 -0.20923E+01 -0.11637E+02      982.00
  0.95688E+00  0.65211E+02    0.50000E+00  0.50000E+00 -0.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00    0.14398E+02  0.25952E+02 -0.40350E+02 -0.48550E+01 -0.22047E+01 -0.11601E+02      982.00
