  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  24.000   0.130   0.133   0.264
   0.025  20.000   0.132   0.134   0.267
   0.050  22.000   0.133   0.136   0.270
   0.075  21.000   0.133   0.139   0.274
   0.100  22.000   0.133   0.141   0.278
   0.125  21.000   0.133   0.143   0.280
   0.150  20.000   0.133   0.143   0.281
   0.175  20.000   0.132   0.143   0.280
   0.200  21.000   0.131   0.143   0.279
   0.225  21.000   0.130   0.141   0.276
   0.250  21.000   0.128   0.139   0.272
   0.275  21.000   0.126   0.137   0.268
   0.300  21.000   0.123   0.134   0.263
   0.325  21.000   0.121   0.132   0.257
   0.350  21.000   0.118   0.129   0.251
   0.375  21.000   0.115   0.126   0.245
   0.400  21.000   0.113   0.122   0.239
   0.425  21.000   0.110   0.119   0.233
   0.450  22.000   0.107   0.116   0.228
   0.475  22.000   0.105   0.114   0.222
   0.500  22.000   0.102   0.111   0.216
   0.525  22.000   0.100   0.108   0.211
   0.550  22.000   0.097   0.106   0.206
   0.575  22.000   0.095   0.103   0.202
   0.600  22.000   0.093   0.101   0.197
   0.625  21.000   0.091   0.099   0.193
   0.650  21.000   0.089   0.097   0.189
   0.675  20.000   0.088   0.095   0.186
   0.700  20.000   0.086   0.093   0.182
   0.725  20.000   0.085   0.091   0.179
   0.750  20.000   0.083   0.090   0.176
   0.775  20.000   0.082   0.088   0.173
   0.800  20.000   0.081   0.087   0.170
   0.825  20.000   0.079   0.086   0.167
   0.850  21.000   0.078   0.084   0.165
   0.875  21.000   0.077   0.083   0.163
   0.900  22.000   0.076   0.082   0.160
   0.925  22.000   0.075   0.081   0.158
   0.950  23.000   0.075   0.081   0.158
   0.975  23.000   0.074   0.080   0.157
   1.000  22.000   0.074   0.080   0.157
