  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   7.000   0.018   0.011   0.207   0.070   0.000   0.174
   0.025   8.000   0.018   0.011   0.200   0.068   0.000   0.175
   0.050   8.000   0.018   0.011   0.193   0.065   0.000   0.177
   0.075   8.000   0.017   0.012   0.188   0.063   0.000   0.180
   0.100   8.000   0.017   0.012   0.184   0.061   0.000   0.185
   0.125   8.000   0.018   0.013   0.181   0.058   0.000   0.190
   0.150   9.000   0.018   0.014   0.180   0.056   0.000   0.197
   0.175   9.000   0.018   0.016   0.180   0.054   0.000   0.206
   0.200  10.000   0.019   0.017   0.181   0.052   0.000   0.216
   0.225  10.000   0.019   0.018   0.182   0.051   0.000   0.225
   0.250  10.000   0.018   0.018   0.180   0.051   0.000   0.228
   0.275  11.000   0.017   0.019   0.179   0.049   0.000   0.227
   0.300  11.000   0.016   0.020   0.178   0.048   0.000   0.228
   0.325  11.000   0.016   0.022   0.180   0.046   0.000   0.230
   0.350  11.000   0.016   0.023   0.182   0.044   0.000   0.234
   0.375  11.000   0.016   0.025   0.184   0.043   0.000   0.241
   0.400  11.000   0.016   0.026   0.187   0.043   0.000   0.248
   0.425  11.000   0.016   0.027   0.189   0.043   0.000   0.256
   0.450  11.000   0.017   0.027   0.191   0.043   0.000   0.265
   0.475  11.000   0.017   0.028   0.192   0.044   0.000   0.274
   0.500  11.000   0.017   0.028   0.194   0.045   0.000   0.283
   0.525  11.000   0.017   0.027   0.195   0.046   0.000   0.292
   0.550  11.000   0.018   0.027   0.196   0.047   0.000   0.301
   0.575  11.000   0.018   0.027   0.196   0.048   0.000   0.309
   0.600  11.000   0.018   0.026   0.197   0.050   0.000   0.317
   0.625  11.000   0.018   0.025   0.197   0.051   0.000   0.324
   0.650  11.000   0.018   0.025   0.197   0.053   0.000   0.331
   0.675  11.000   0.018   0.024   0.197   0.054   0.000   0.338
   0.700  11.000   0.018   0.023   0.197   0.056   0.000   0.345
   0.725  11.000   0.018   0.022   0.197   0.057   0.000   0.351
   0.750  11.000   0.018   0.021   0.196   0.059   0.000   0.356
   0.775  11.000   0.018   0.020   0.196   0.061   0.000   0.361
   0.800  11.000   0.018   0.020   0.195   0.063   0.000   0.366
   0.825  11.000   0.018   0.019   0.195   0.064   0.000   0.371
   0.850  11.000   0.018   0.018   0.194   0.066   0.000   0.375
   0.875  11.000   0.018   0.017   0.194   0.068   0.000   0.379
   0.900  11.000   0.018   0.016   0.192   0.070   0.000   0.381
   0.925  11.000   0.018   0.015   0.190   0.071   0.000   0.382
   0.950  11.000   0.017   0.014   0.189   0.073   0.000   0.382
   0.975  11.000   0.017   0.013   0.188   0.074   0.000   0.383
   1.000  11.000   0.017   0.012   0.186   0.076   0.000   0.384
