  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   4.000   0.018   0.384   0.000   0.002   0.000   0.191
   0.025   4.000   0.013   0.386   0.000   0.001   0.000   0.195
   0.050   6.000   0.009   0.387   0.000   0.001   0.000   0.199
   0.075   6.000   0.006   0.387   0.000   0.001   0.000   0.204
   0.100   6.000   0.004   0.387   0.000   0.001   0.000   0.210
   0.125   6.000   0.002   0.386   0.000   0.001   0.000   0.216
   0.150   6.000   0.001   0.384   0.001   0.001   0.000   0.223
   0.175   6.000   0.001   0.382   0.001   0.000   0.000   0.230
   0.200   6.000   0.001   0.379   0.002   0.000   0.000   0.237
   0.225   6.000   0.000   0.376   0.003   0.000   0.000   0.244
   0.250   6.000   0.000   0.372   0.005   0.000   0.000   0.251
   0.275   6.000   0.000   0.368   0.007   0.000   0.000   0.258
   0.300   6.000   0.000   0.363   0.010   0.000   0.000   0.265
   0.325   6.000   0.000   0.359   0.013   0.000   0.000   0.272
   0.350   7.000   0.000   0.354   0.017   0.000   0.000   0.279
   0.375   8.000   0.000   0.348   0.021   0.000   0.000   0.286
   0.400   8.000   0.000   0.343   0.026   0.000   0.000   0.292
   0.425   8.000   0.000   0.337   0.031   0.000   0.000   0.299
   0.450   8.000   0.000   0.331   0.037   0.000   0.000   0.304
   0.475   8.000   0.000   0.325   0.042   0.000   0.000   0.310
   0.500   8.000   0.000   0.319   0.048   0.000   0.000   0.315
   0.525   8.000   0.000   0.313   0.054   0.000   0.000   0.320
   0.550   8.000   0.000   0.308   0.060   0.000   0.000   0.325
   0.575   8.000   0.000   0.302   0.066   0.000   0.000   0.329
   0.600   9.000   0.000   0.297   0.071   0.000   0.000   0.334
   0.625   9.000   0.000   0.293   0.077   0.000   0.000   0.338
   0.650   9.000   0.000   0.288   0.083   0.000   0.000   0.341
   0.675   9.000   0.000   0.284   0.088   0.000   0.000   0.345
   0.700   9.000   0.000   0.281   0.094   0.000   0.000   0.349
   0.725   9.000   0.000   0.277   0.099   0.000   0.000   0.352
   0.750   9.000   0.000   0.274   0.104   0.000   0.000   0.355
   0.775   9.000   0.000   0.270   0.109   0.000   0.000   0.358
   0.800   9.000   0.000   0.267   0.114   0.000   0.000   0.360
   0.825   9.000   0.000   0.264   0.118   0.000   0.000   0.363
   0.850   9.000   0.000   0.262   0.122   0.000   0.000   0.365
   0.875   9.000   0.000   0.259   0.127   0.000   0.000   0.367
   0.900   9.000   0.000   0.257   0.131   0.000   0.000   0.370
   0.925   9.000   0.000   0.254   0.134   0.000   0.000   0.372
   0.950   9.000   0.000   0.252   0.138   0.000   0.000   0.373
   0.975   9.000   0.000   0.250   0.141   0.000   0.000   0.375
   1.000   9.000   0.000   0.248   0.145   0.000   0.000   0.377
