  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.102   0.001   0.143   0.035   0.113   0.000   0.086
   0.025   6.000   0.100   0.001   0.142   0.038   0.109   0.000   0.087
   0.050   6.000   0.097   0.001   0.142   0.042   0.103   0.000   0.089
   0.075   6.000   0.093   0.000   0.141   0.047   0.096   0.000   0.092
   0.100   6.000   0.088   0.000   0.141   0.051   0.090   0.000   0.095
   0.125   6.000   0.083   0.000   0.140   0.055   0.085   0.000   0.096
   0.150   6.000   0.078   0.000   0.141   0.058   0.083   0.000   0.097
   0.175   6.000   0.073   0.000   0.143   0.060   0.084   0.000   0.097
   0.200   6.000   0.069   0.000   0.146   0.063   0.085   0.000   0.098
   0.225   6.000   0.065   0.000   0.150   0.065   0.088   0.000   0.098
   0.250   6.000   0.061   0.000   0.154   0.067   0.092   0.000   0.099
   0.275   6.000   0.058   0.000   0.158   0.069   0.097   0.000   0.099
   0.300   6.000   0.055   0.000   0.163   0.071   0.103   0.000   0.100
   0.325   6.000   0.053   0.000   0.169   0.073   0.109   0.000   0.101
   0.350   6.000   0.050   0.000   0.174   0.075   0.116   0.000   0.101
   0.375   6.000   0.047   0.000   0.180   0.077   0.123   0.000   0.101
   0.400   6.000   0.045   0.000   0.186   0.079   0.130   0.000   0.101
   0.425   6.000   0.042   0.000   0.192   0.081   0.138   0.000   0.100
   0.450   6.000   0.039   0.000   0.198   0.083   0.146   0.000   0.099
   0.475   6.000   0.037   0.000   0.203   0.085   0.155   0.000   0.097
   0.500   6.000   0.034   0.000   0.209   0.087   0.164   0.000   0.095
   0.525   6.000   0.031   0.000   0.214   0.089   0.174   0.000   0.092
   0.550   6.000   0.028   0.000   0.220   0.091   0.183   0.000   0.088
   0.575   6.000   0.025   0.000   0.225   0.093   0.193   0.000   0.084
   0.600   6.000   0.022   0.000   0.230   0.095   0.204   0.000   0.079
   0.625   6.000   0.019   0.000   0.234   0.097   0.215   0.000   0.074
   0.650   6.000   0.017   0.001   0.238   0.099   0.226   0.000   0.068
   0.675   6.000   0.014   0.001   0.242   0.100   0.237   0.000   0.061
   0.700   5.000   0.012   0.002   0.245   0.101   0.248   0.000   0.054
   0.725   5.000   0.010   0.004   0.247   0.102   0.259   0.000   0.048
   0.750   5.000   0.008   0.006   0.249   0.103   0.270   0.000   0.041
   0.775   4.000   0.006   0.009   0.249   0.102   0.281   0.000   0.034
   0.800   4.000   0.005   0.012   0.249   0.101   0.291   0.000   0.029
   0.825   4.000   0.004   0.017   0.248   0.099   0.301   0.000   0.023
   0.850   4.000   0.003   0.022   0.247   0.097   0.311   0.000   0.019
   0.875   4.000   0.003   0.028   0.244   0.093   0.319   0.000   0.016
   0.900   4.000   0.002   0.034   0.241   0.089   0.328   0.000   0.014
   0.925   4.000   0.002   0.040   0.237   0.085   0.336   0.000   0.013
   0.950   4.000   0.002   0.046   0.232   0.080   0.343   0.000   0.013
   0.975   4.000   0.001   0.051   0.227   0.075   0.349   0.000   0.014
   1.000   4.000   0.001   0.056   0.221   0.070   0.353   0.000   0.017
