  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   4.000   0.008   0.401   0.000   0.000   0.000   0.000   0.197
   0.025   5.000   0.005   0.400   0.000   0.000   0.000   0.000   0.200
   0.050   6.000   0.003   0.398   0.000   0.000   0.000   0.000   0.204
   0.075   6.000   0.002   0.396   0.000   0.000   0.000   0.000   0.208
   0.100   7.000   0.001   0.392   0.001   0.000   0.000   0.000   0.213
   0.125   7.000   0.001   0.388   0.002   0.000   0.000   0.000   0.219
   0.150   6.000   0.000   0.383   0.004   0.000   0.000   0.000   0.224
   0.175   6.000   0.000   0.377   0.006   0.000   0.000   0.000   0.230
   0.200   6.000   0.000   0.371   0.008   0.000   0.000   0.000   0.236
   0.225   6.000   0.000   0.365   0.011   0.000   0.000   0.000   0.243
   0.250   6.000   0.000   0.358   0.015   0.000   0.000   0.000   0.249
   0.275   7.000   0.000   0.351   0.019   0.000   0.000   0.000   0.256
   0.300   7.000   0.000   0.344   0.023   0.000   0.000   0.000   0.263
   0.325   8.000   0.000   0.338   0.028   0.000   0.000   0.000   0.270
   0.350   8.000   0.000   0.331   0.033   0.000   0.000   0.000   0.277
   0.375   8.000   0.000   0.325   0.037   0.000   0.000   0.000   0.284
   0.400   8.000   0.000   0.319   0.043   0.000   0.000   0.000   0.290
   0.425   8.000   0.000   0.313   0.048   0.000   0.000   0.000   0.297
   0.450   8.000   0.000   0.308   0.053   0.000   0.000   0.000   0.303
   0.475   8.000   0.000   0.303   0.058   0.000   0.000   0.000   0.309
   0.500   8.000   0.000   0.299   0.064   0.000   0.000   0.000   0.315
   0.525   9.000   0.000   0.295   0.069   0.000   0.000   0.000   0.320
   0.550   9.000   0.000   0.291   0.074   0.000   0.000   0.000   0.326
   0.575   9.000   0.000   0.287   0.080   0.000   0.000   0.000   0.330
   0.600   9.000   0.000   0.284   0.085   0.000   0.000   0.000   0.335
   0.625   9.000   0.000   0.280   0.090   0.000   0.000   0.000   0.339
   0.650   9.000   0.000   0.277   0.095   0.000   0.000   0.000   0.343
   0.675   9.000   0.000   0.274   0.100   0.000   0.000   0.000   0.347
   0.700   9.000   0.000   0.271   0.105   0.000   0.000   0.000   0.350
   0.725   9.000   0.000   0.268   0.109   0.000   0.000   0.000   0.353
   0.750   9.000   0.000   0.265   0.114   0.000   0.000   0.000   0.356
   0.775   9.000   0.000   0.263   0.118   0.000   0.000   0.000   0.359
   0.800   9.000   0.000   0.260   0.122   0.000   0.000   0.000   0.362
   0.825   9.000   0.000   0.258   0.126   0.000   0.000   0.000   0.364
   0.850   9.000   0.000   0.256   0.130   0.000   0.000   0.000   0.367
   0.875   9.000   0.000   0.254   0.134   0.000   0.000   0.000   0.369
   0.900   9.000   0.000   0.252   0.137   0.000   0.000   0.000   0.371
   0.925   9.000   0.000   0.250   0.141   0.000   0.000   0.000   0.373
   0.950   9.000   0.000   0.248   0.144   0.000   0.000   0.000   0.374
   0.975   9.000   0.000   0.246   0.147   0.000   0.000   0.000   0.376
   1.000   9.000   0.000   0.244   0.150   0.000   0.000   0.000   0.378
