  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.123   0.127   0.251
   0.025  18.000   0.124   0.128   0.254
   0.050  19.000   0.126   0.131   0.260
   0.075  21.000   0.128   0.136   0.267
   0.100  21.000   0.130   0.139   0.273
   0.125  21.000   0.131   0.142   0.277
   0.150  22.000   0.132   0.143   0.279
   0.175  22.000   0.132   0.143   0.279
   0.200  21.000   0.131   0.142   0.277
   0.225  21.000   0.129   0.141   0.275
   0.250  21.000   0.127   0.139   0.271
   0.275  21.000   0.125   0.136   0.266
   0.300  21.000   0.122   0.133   0.260
   0.325  21.000   0.119   0.130   0.254
   0.350  21.000   0.117   0.127   0.248
   0.375  21.000   0.114   0.124   0.242
   0.400  21.000   0.111   0.121   0.235
   0.425  21.000   0.108   0.117   0.229
   0.450  21.000   0.105   0.114   0.223
   0.475  21.000   0.102   0.111   0.217
   0.500  21.000   0.099   0.108   0.211
   0.525  21.000   0.097   0.105   0.206
   0.550  21.000   0.095   0.103   0.201
   0.575  21.000   0.092   0.100   0.196
   0.600  21.000   0.090   0.098   0.191
   0.625  21.000   0.088   0.095   0.187
   0.650  22.000   0.086   0.093   0.183
   0.675  22.000   0.084   0.091   0.179
   0.700  22.000   0.083   0.090   0.175
   0.725  23.000   0.081   0.088   0.172
   0.750  23.000   0.080   0.086   0.169
   0.775  23.000   0.078   0.085   0.166
   0.800  23.000   0.077   0.083   0.163
   0.825  23.000   0.076   0.082   0.160
   0.850  23.000   0.075   0.081   0.158
   0.875  22.000   0.074   0.080   0.156
   0.900  21.000   0.073   0.079   0.154
   0.925  21.000   0.072   0.078   0.152
   0.950  21.000   0.072   0.078   0.152
   0.975  21.000   0.072   0.078   0.152
   1.000  21.000   0.072   0.078   0.153
