  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.123   0.002   0.137   0.025   0.077   0.000   0.113
   0.025   6.000   0.120   0.002   0.136   0.028   0.070   0.000   0.117
   0.050   6.000   0.117   0.002   0.134   0.031   0.062   0.000   0.121
   0.075   6.000   0.112   0.001   0.133   0.034   0.054   0.000   0.125
   0.100   6.000   0.107   0.001   0.132   0.036   0.049   0.000   0.128
   0.125   6.000   0.102   0.001   0.133   0.037   0.046   0.000   0.130
   0.150   6.000   0.098   0.001   0.134   0.038   0.044   0.000   0.133
   0.175   6.000   0.094   0.001   0.136   0.039   0.043   0.000   0.136
   0.200   6.000   0.090   0.000   0.139   0.040   0.043   0.000   0.139
   0.225   6.000   0.087   0.000   0.143   0.040   0.044   0.000   0.143
   0.250   6.000   0.084   0.000   0.147   0.040   0.044   0.000   0.148
   0.275   6.000   0.082   0.000   0.152   0.040   0.045   0.000   0.153
   0.300   6.000   0.080   0.000   0.158   0.039   0.046   0.000   0.159
   0.325   6.000   0.078   0.000   0.163   0.039   0.047   0.000   0.166
   0.350   6.000   0.076   0.000   0.169   0.038   0.048   0.000   0.173
   0.375   6.000   0.074   0.000   0.176   0.037   0.049   0.000   0.180
   0.400   6.000   0.072   0.000   0.183   0.036   0.050   0.000   0.187
   0.425   6.000   0.070   0.000   0.190   0.034   0.050   0.000   0.195
   0.450   6.000   0.068   0.000   0.197   0.033   0.050   0.000   0.203
   0.475   6.000   0.065   0.000   0.204   0.031   0.050   0.000   0.211
   0.500   6.000   0.063   0.000   0.212   0.029   0.050   0.000   0.219
   0.525   7.000   0.060   0.000   0.220   0.027   0.049   0.000   0.227
   0.550   7.000   0.056   0.000   0.227   0.024   0.048   0.000   0.236
   0.575   7.000   0.053   0.000   0.235   0.022   0.047   0.000   0.245
   0.600   7.000   0.049   0.000   0.243   0.019   0.045   0.000   0.253
   0.625   7.000   0.045   0.000   0.251   0.017   0.043   0.000   0.262
   0.650   7.000   0.041   0.000   0.259   0.015   0.041   0.000   0.271
   0.675   6.000   0.037   0.000   0.267   0.012   0.038   0.000   0.279
   0.700   6.000   0.033   0.000   0.274   0.010   0.035   0.000   0.288
   0.725   6.000   0.029   0.000   0.281   0.009   0.032   0.000   0.296
   0.750   6.000   0.025   0.000   0.288   0.007   0.029   0.000   0.305
   0.775   7.000   0.022   0.001   0.294   0.005   0.025   0.000   0.313
   0.800   7.000   0.018   0.001   0.299   0.004   0.022   0.000   0.320
   0.825   6.000   0.015   0.003   0.304   0.003   0.019   0.000   0.327
   0.850   6.000   0.012   0.004   0.307   0.002   0.016   0.000   0.334
   0.875   5.000   0.010   0.007   0.309   0.002   0.013   0.000   0.339
   0.900   5.000   0.008   0.011   0.310   0.001   0.010   0.000   0.344
   0.925   5.000   0.007   0.015   0.309   0.001   0.008   0.000   0.348
   0.950   7.000   0.005   0.021   0.308   0.001   0.006   0.000   0.351
   0.975   7.000   0.004   0.027   0.304   0.000   0.005   0.000   0.352
   1.000   8.000   0.003   0.034   0.300   0.000   0.004   0.000   0.353
