  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.092   0.091   0.182
   0.025  22.000   0.092   0.090   0.182
   0.050  22.000   0.093   0.090   0.182
   0.075  21.000   0.094   0.091   0.183
   0.100  21.000   0.094   0.091   0.184
   0.125  22.000   0.095   0.092   0.186
   0.150  22.000   0.095   0.093   0.188
   0.175  22.000   0.096   0.094   0.190
   0.200  25.000   0.096   0.096   0.192
   0.225  26.000   0.096   0.097   0.194
   0.250  27.000   0.096   0.098   0.195
   0.275  27.000   0.095   0.099   0.196
   0.300  28.000   0.094   0.099   0.196
   0.325  28.000   0.093   0.099   0.195
   0.350  27.000   0.092   0.098   0.193
   0.375  28.000   0.090   0.097   0.190
   0.400  27.000   0.089   0.096   0.187
   0.425  27.000   0.087   0.094   0.184
   0.450  26.000   0.085   0.092   0.180
   0.475  28.000   0.083   0.090   0.176
   0.500  27.000   0.082   0.087   0.172
   0.525  27.000   0.080   0.085   0.168
   0.550  27.000   0.078   0.083   0.164
   0.575  27.000   0.077   0.081   0.160
   0.600  28.000   0.075   0.079   0.156
   0.625  28.000   0.074   0.078   0.153
   0.650  28.000   0.072   0.076   0.150
   0.675  28.000   0.071   0.074   0.147
   0.700  29.000   0.070   0.073   0.144
   0.725  29.000   0.069   0.071   0.141
   0.750  27.000   0.068   0.070   0.139
   0.775  27.000   0.066   0.069   0.136
   0.800  27.000   0.065   0.068   0.134
   0.825  26.000   0.065   0.067   0.132
   0.850  26.000   0.064   0.066   0.130
   0.875  26.000   0.063   0.065   0.128
   0.900  26.000   0.062   0.064   0.126
   0.925  26.000   0.061   0.063   0.125
   0.950  26.000   0.060   0.062   0.123
   0.975  27.000   0.060   0.061   0.122
   1.000  26.000   0.060   0.061   0.122
