  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   3.000   0.003   0.264   0.294   0.000   0.054   0.022
   0.025   3.000   0.004   0.258   0.302   0.000   0.053   0.018
   0.050   3.000   0.006   0.253   0.310   0.000   0.052   0.013
   0.075   3.000   0.008   0.246   0.317   0.000   0.051   0.010
   0.100   3.000   0.010   0.240   0.322   0.000   0.050   0.008
   0.125   3.000   0.012   0.233   0.326   0.000   0.049   0.007
   0.150   3.000   0.014   0.226   0.329   0.000   0.047   0.008
   0.175   3.000   0.016   0.220   0.329   0.000   0.046   0.009
   0.200   4.000   0.017   0.213   0.329   0.000   0.044   0.011
   0.225   4.000   0.019   0.208   0.328   0.000   0.043   0.015
   0.250   4.000   0.020   0.203   0.327   0.000   0.042   0.018
   0.275   4.000   0.021   0.198   0.326   0.000   0.042   0.022
   0.300   4.000   0.022   0.194   0.326   0.000   0.041   0.027
   0.325   4.000   0.023   0.191   0.325   0.000   0.041   0.033
   0.350   5.000   0.025   0.188   0.325   0.000   0.040   0.039
   0.375   5.000   0.026   0.185   0.326   0.000   0.040   0.045
   0.400   5.000   0.027   0.182   0.327   0.000   0.039   0.053
   0.425   5.000   0.028   0.180   0.328   0.000   0.039   0.061
   0.450   5.000   0.029   0.178   0.329   0.000   0.038   0.070
   0.475   5.000   0.029   0.175   0.331   0.000   0.037   0.079
   0.500   5.000   0.030   0.173   0.332   0.000   0.036   0.088
   0.525   5.000   0.030   0.171   0.333   0.000   0.034   0.099
   0.550   5.000   0.030   0.169   0.333   0.001   0.033   0.109
   0.575   6.000   0.030   0.166   0.334   0.001   0.032   0.119
   0.600   7.000   0.030   0.164   0.334   0.001   0.030   0.130
   0.625   8.000   0.030   0.162   0.334   0.001   0.029   0.141
   0.650   8.000   0.029   0.159   0.333   0.001   0.028   0.151
   0.675   8.000   0.028   0.157   0.333   0.001   0.027   0.162
   0.700   8.000   0.028   0.155   0.332   0.001   0.025   0.172
   0.725   8.000   0.027   0.152   0.331   0.001   0.024   0.183
   0.750   8.000   0.026   0.150   0.330   0.001   0.023   0.193
   0.775   8.000   0.026   0.148   0.328   0.002   0.022   0.203
   0.800   9.000   0.025   0.145   0.327   0.002   0.021   0.213
   0.825   9.000   0.024   0.143   0.325   0.002   0.020   0.222
   0.850   9.000   0.023   0.141   0.324   0.002   0.019   0.232
   0.875   9.000   0.023   0.138   0.322   0.002   0.019   0.241
   0.900  10.000   0.022   0.136   0.320   0.002   0.018   0.249
   0.925  10.000   0.021   0.134   0.318   0.002   0.017   0.258
   0.950  10.000   0.021   0.132   0.316   0.003   0.016   0.266
   0.975  10.000   0.020   0.130   0.315   0.003   0.016   0.274
   1.000   9.000   0.020   0.128   0.312   0.003   0.015   0.280
