  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.131   0.135   0.268
   0.025  20.000   0.132   0.136   0.270
   0.050  20.000   0.132   0.136   0.270
   0.075  19.000   0.133   0.137   0.271
   0.100  19.000   0.135   0.139   0.275
   0.125  20.000   0.136   0.142   0.280
   0.150  20.000   0.137   0.143   0.283
   0.175  20.000   0.136   0.144   0.283
   0.200  21.000   0.135   0.143   0.282
   0.225  22.000   0.133   0.142   0.279
   0.250  22.000   0.131   0.140   0.275
   0.275  22.000   0.128   0.138   0.270
   0.300  22.000   0.125   0.135   0.265
   0.325  23.000   0.123   0.132   0.259
   0.350  23.000   0.120   0.129   0.253
   0.375  23.000   0.117   0.126   0.247
   0.400  22.000   0.114   0.123   0.241
   0.425  21.000   0.111   0.120   0.235
   0.450  21.000   0.108   0.117   0.229
   0.475  21.000   0.105   0.114   0.223
   0.500  21.000   0.103   0.112   0.218
   0.525  21.000   0.100   0.109   0.213
   0.550  21.000   0.098   0.106   0.208
   0.575  21.000   0.096   0.104   0.203
   0.600  21.000   0.094   0.102   0.199
   0.625  20.000   0.092   0.100   0.195
   0.650  20.000   0.090   0.098   0.191
   0.675  20.000   0.088   0.096   0.187
   0.700  20.000   0.087   0.094   0.184
   0.725  20.000   0.085   0.092   0.180
   0.750  20.000   0.084   0.091   0.177
   0.775  19.000   0.082   0.089   0.175
   0.800  19.000   0.081   0.088   0.172
   0.825  20.000   0.080   0.087   0.170
   0.850  20.000   0.079   0.085   0.167
   0.875  20.000   0.078   0.084   0.165
   0.900  20.000   0.077   0.083   0.163
   0.925  20.000   0.076   0.082   0.161
   0.950  20.000   0.076   0.082   0.161
   0.975  20.000   0.076   0.082   0.161
   1.000  20.000   0.076   0.082   0.161
