  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  27.000   0.137   0.131   0.266
   0.025  28.000   0.140   0.133   0.270
   0.050  29.000   0.142   0.134   0.273
   0.075  29.000   0.143   0.134   0.274
   0.100  28.000   0.143   0.134   0.273
   0.125  27.000   0.142   0.132   0.270
   0.150  27.000   0.139   0.130   0.265
   0.175  28.000   0.136   0.127   0.259
   0.200  27.000   0.132   0.124   0.252
   0.225  26.000   0.127   0.120   0.244
   0.250  25.000   0.122   0.116   0.236
   0.275  25.000   0.117   0.112   0.227
   0.300  23.000   0.112   0.109   0.219
   0.325  21.000   0.108   0.105   0.211
   0.350  21.000   0.103   0.101   0.204
   0.375  21.000   0.099   0.098   0.197
   0.400  21.000   0.095   0.095   0.190
   0.425  21.000   0.092   0.091   0.183
   0.450  20.000   0.089   0.088   0.177
   0.475  21.000   0.086   0.085   0.171
   0.500  21.000   0.083   0.083   0.166
   0.525  22.000   0.081   0.080   0.160
   0.550  23.000   0.078   0.078   0.156
   0.575  24.000   0.076   0.076   0.151
   0.600  24.000   0.074   0.074   0.148
   0.625  27.000   0.072   0.072   0.144
   0.650  27.000   0.070   0.071   0.141
   0.675  27.000   0.068   0.070   0.139
   0.700  27.000   0.067   0.069   0.136
   0.725  28.000   0.065   0.068   0.134
   0.750  27.000   0.064   0.067   0.132
   0.775  27.000   0.063   0.066   0.130
   0.800  28.000   0.061   0.065   0.128
   0.825  28.000   0.060   0.065   0.127
   0.850  28.000   0.059   0.064   0.125
   0.875  28.000   0.058   0.063   0.123
   0.900  26.000   0.058   0.062   0.122
   0.925  28.000   0.057   0.062   0.122
   0.950  28.000   0.057   0.062   0.122
   0.975  28.000   0.057   0.062   0.122
   1.000  28.000   0.057   0.062   0.122
