  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.133   0.178   0.016   0.001   0.000   0.175
   0.025   6.000   0.129   0.173   0.015   0.001   0.000   0.172
   0.050   6.000   0.126   0.168   0.015   0.000   0.000   0.170
   0.075   7.000   0.124   0.165   0.015   0.000   0.000   0.170
   0.100   7.000   0.123   0.162   0.014   0.000   0.000   0.171
   0.125   7.000   0.122   0.159   0.014   0.000   0.000   0.174
   0.150   7.000   0.122   0.158   0.014   0.000   0.000   0.177
   0.175   7.000   0.122   0.156   0.014   0.000   0.000   0.181
   0.200   7.000   0.123   0.156   0.013   0.000   0.000   0.186
   0.225   7.000   0.124   0.155   0.013   0.000   0.000   0.192
   0.250   7.000   0.125   0.155   0.013   0.000   0.000   0.198
   0.275   8.000   0.126   0.155   0.013   0.000   0.000   0.204
   0.300   8.000   0.128   0.156   0.013   0.000   0.000   0.211
   0.325   8.000   0.130   0.156   0.012   0.000   0.000   0.218
   0.350   8.000   0.132   0.157   0.012   0.000   0.000   0.225
   0.375   8.000   0.134   0.158   0.012   0.000   0.000   0.232
   0.400   9.000   0.136   0.160   0.012   0.000   0.000   0.239
   0.425   9.000   0.139   0.161   0.012   0.000   0.000   0.245
   0.450   9.000   0.141   0.162   0.012   0.000   0.000   0.252
   0.475   9.000   0.143   0.164   0.012   0.000   0.000   0.258
   0.500   9.000   0.145   0.165   0.012   0.000   0.000   0.264
   0.525   9.000   0.147   0.167   0.012   0.000   0.000   0.269
   0.550   9.000   0.148   0.168   0.012   0.000   0.000   0.275
   0.575   9.000   0.150   0.170   0.013   0.000   0.000   0.280
   0.600   9.000   0.152   0.171   0.013   0.000   0.000   0.284
   0.625   9.000   0.153   0.172   0.013   0.000   0.000   0.289
   0.650   9.000   0.155   0.174   0.013   0.000   0.000   0.293
   0.675   9.000   0.156   0.175   0.013   0.000   0.000   0.297
   0.700   9.000   0.157   0.176   0.013   0.000   0.000   0.300
   0.725   9.000   0.159   0.177   0.013   0.000   0.000   0.304
   0.750   9.000   0.160   0.178   0.013   0.000   0.000   0.307
   0.775   9.000   0.161   0.180   0.013   0.000   0.000   0.310
   0.800   9.000   0.162   0.181   0.013   0.000   0.000   0.313
   0.825   9.000   0.162   0.182   0.013   0.000   0.000   0.315
   0.850   9.000   0.163   0.183   0.013   0.000   0.000   0.318
   0.875   9.000   0.164   0.184   0.013   0.000   0.000   0.320
   0.900   9.000   0.165   0.184   0.014   0.000   0.000   0.322
   0.925   9.000   0.165   0.185   0.014   0.000   0.000   0.324
   0.950   9.000   0.166   0.186   0.014   0.000   0.000   0.326
   0.975   9.000   0.166   0.187   0.014   0.000   0.000   0.328
   1.000   9.000   0.166   0.187   0.014   0.000   0.000   0.328
