  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.040   0.000   0.298   0.000   0.008   0.000   0.204
   0.025   6.000   0.034   0.000   0.303   0.000   0.006   0.000   0.214
   0.050   6.000   0.029   0.000   0.307   0.000   0.004   0.000   0.223
   0.075   6.000   0.024   0.001   0.309   0.000   0.003   0.000   0.231
   0.100   6.000   0.020   0.001   0.309   0.000   0.002   0.000   0.235
   0.125   7.000   0.016   0.002   0.306   0.000   0.001   0.000   0.237
   0.150   6.000   0.013   0.004   0.302   0.000   0.001   0.000   0.236
   0.175   6.000   0.010   0.006   0.298   0.000   0.001   0.000   0.236
   0.200   6.000   0.008   0.009   0.293   0.000   0.001   0.000   0.236
   0.225   6.000   0.007   0.013   0.287   0.000   0.000   0.000   0.237
   0.250   8.000   0.005   0.017   0.282   0.000   0.000   0.000   0.238
   0.275   8.000   0.004   0.023   0.276   0.000   0.000   0.000   0.240
   0.300   8.000   0.003   0.029   0.269   0.000   0.000   0.000   0.243
   0.325   8.000   0.003   0.036   0.263   0.000   0.000   0.000   0.246
   0.350   8.000   0.002   0.043   0.257   0.000   0.000   0.000   0.249
   0.375   8.000   0.002   0.050   0.250   0.000   0.000   0.000   0.253
   0.400   8.000   0.001   0.058   0.244   0.000   0.000   0.000   0.257
   0.425   8.000   0.001   0.066   0.238   0.000   0.000   0.000   0.261
   0.450   8.000   0.001   0.073   0.233   0.000   0.000   0.000   0.266
   0.475   8.000   0.001   0.080   0.228   0.000   0.000   0.000   0.271
   0.500   8.000   0.001   0.087   0.223   0.000   0.000   0.000   0.275
   0.525   8.000   0.001   0.094   0.219   0.000   0.000   0.000   0.280
   0.550   8.000   0.000   0.100   0.215   0.000   0.000   0.000   0.284
   0.575   8.000   0.000   0.107   0.212   0.000   0.000   0.000   0.289
   0.600   8.000   0.000   0.112   0.209   0.000   0.000   0.000   0.293
   0.625   8.000   0.000   0.118   0.206   0.000   0.000   0.000   0.297
   0.650   8.000   0.000   0.123   0.203   0.000   0.000   0.000   0.301
   0.675   8.000   0.000   0.128   0.201   0.000   0.000   0.000   0.305
   0.700   8.000   0.000   0.133   0.199   0.000   0.000   0.000   0.308
   0.725   8.000   0.000   0.137   0.197   0.000   0.000   0.000   0.312
   0.750   8.000   0.000   0.141   0.195   0.000   0.000   0.000   0.315
   0.775   8.000   0.000   0.145   0.194   0.000   0.000   0.000   0.318
   0.800   8.000   0.000   0.148   0.192   0.000   0.000   0.000   0.321
   0.825   9.000   0.000   0.152   0.191   0.000   0.000   0.000   0.324
   0.850   9.000   0.000   0.155   0.190   0.000   0.000   0.000   0.326
   0.875   9.000   0.000   0.158   0.189   0.000   0.000   0.000   0.329
   0.900   9.000   0.000   0.161   0.188   0.000   0.000   0.000   0.331
   0.925   9.000   0.000   0.164   0.187   0.000   0.000   0.000   0.333
   0.950   9.000   0.000   0.166   0.186   0.000   0.000   0.000   0.335
   0.975   9.000   0.000   0.168   0.185   0.000   0.000   0.000   0.337
   1.000   9.000   0.000   0.171   0.185   0.000   0.000   0.000   0.339
