  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   9.000   0.011   0.001   0.006   0.008   0.036   0.161   0.258
   0.025   9.000   0.011   0.001   0.006   0.007   0.035   0.157   0.255
   0.050   9.000   0.011   0.001   0.006   0.007   0.034   0.153   0.253
   0.075  10.000   0.011   0.001   0.006   0.007   0.033   0.150   0.253
   0.100  10.000   0.012   0.001   0.007   0.007   0.032   0.148   0.255
   0.125  11.000   0.012   0.001   0.007   0.007   0.031   0.147   0.258
   0.150  12.000   0.013   0.001   0.008   0.008   0.030   0.148   0.264
   0.175  12.000   0.013   0.001   0.008   0.008   0.029   0.149   0.272
   0.200  12.000   0.013   0.001   0.008   0.008   0.029   0.149   0.274
   0.225  13.000   0.012   0.001   0.008   0.008   0.029   0.148   0.271
   0.250  13.000   0.012   0.001   0.009   0.008   0.028   0.147   0.268
   0.275  13.000   0.011   0.000   0.009   0.009   0.026   0.147   0.268
   0.300  13.000   0.011   0.000   0.010   0.009   0.025   0.149   0.270
   0.325  12.000   0.011   0.000   0.011   0.010   0.024   0.151   0.274
   0.350  12.000   0.012   0.000   0.012   0.011   0.024   0.153   0.280
   0.375  12.000   0.012   0.000   0.012   0.011   0.024   0.155   0.286
   0.400  12.000   0.013   0.000   0.013   0.011   0.024   0.158   0.294
   0.425  12.000   0.013   0.000   0.013   0.012   0.024   0.160   0.301
   0.450  12.000   0.014   0.000   0.014   0.012   0.024   0.162   0.309
   0.475  12.000   0.014   0.000   0.014   0.012   0.025   0.164   0.317
   0.500  12.000   0.015   0.000   0.014   0.012   0.025   0.166   0.324
   0.525  13.000   0.016   0.000   0.015   0.012   0.026   0.168   0.331
   0.550  13.000   0.016   0.000   0.015   0.012   0.027   0.170   0.338
   0.575  13.000   0.017   0.001   0.015   0.012   0.027   0.171   0.345
   0.600  13.000   0.017   0.001   0.015   0.011   0.028   0.173   0.351
   0.625  13.000   0.018   0.001   0.015   0.011   0.029   0.174   0.357
   0.650  13.000   0.019   0.001   0.015   0.011   0.030   0.176   0.363
   0.675  13.000   0.019   0.001   0.015   0.011   0.031   0.177   0.368
   0.700  13.000   0.019   0.001   0.015   0.011   0.032   0.178   0.373
   0.725  13.000   0.020   0.001   0.015   0.011   0.033   0.179   0.377
   0.750  13.000   0.020   0.001   0.014   0.010   0.033   0.180   0.381
   0.775  13.000   0.021   0.001   0.014   0.010   0.034   0.181   0.385
   0.800  13.000   0.021   0.001   0.014   0.010   0.035   0.182   0.389
   0.825  13.000   0.022   0.001   0.014   0.010   0.036   0.182   0.392
   0.850  13.000   0.022   0.002   0.014   0.010   0.037   0.183   0.395
   0.875  13.000   0.023   0.002   0.014   0.009   0.038   0.184   0.398
   0.900  12.000   0.023   0.002   0.014   0.009   0.039   0.184   0.401
   0.925  12.000   0.023   0.002   0.013   0.009   0.040   0.185   0.403
   0.950  12.000   0.023   0.002   0.013   0.009   0.041   0.185   0.403
   0.975  12.000   0.024   0.002   0.013   0.008   0.041   0.184   0.403
   1.000  12.000   0.024   0.002   0.013   0.008   0.042   0.184   0.403
